municipality,group,variable,month,Cantidad,TOTAL
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,7,7
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,433,433
LAJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,5,5
MINEROS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,4,4
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,5,5
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,126,126
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,3,3
PALOS BLANCOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
PUERTO ACOSTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,11,11
PUNA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,62,62
QUIRUSILLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,46,46
SAN IGNACIO DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
SAN JUAN DE YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,2,2
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,3,3
SAN RAMON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,3,3
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1012,1012
SANTIVAÑES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,2,2
SICAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,4,4
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,9,9
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,157,157
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,101,101
TIAWANACU,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,2,2
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,3,3
TRINIDAD,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
URIONDO (A. CONCEPCION),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,10,10
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
VIACHA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,6,6
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,2,2
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,38,38
YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
AIQUILE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,9,9
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
CALAMARCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
CAMARGO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,5,5
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,7,7
CAQUIAVIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,5,5
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,4,4
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,5,5
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,7,7
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,254,254
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,3,3
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,3,3
CORIPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,2,2
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,5,5
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,207,207
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,3,3
ENTRE RIOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,3,3
GUAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,2,2
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,3,3
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,9,9
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,495,495
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,5,5
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,140,140
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,3,3
PAILON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
PORTACHUELO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,3,3
PUCARANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,2,2
PUERTO PEREZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
PUERTO QUIJARRO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,2,2
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,2,2
PUNATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,42,42
QUIRUSILLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,2,2
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,67,67
SAN IGNACIO DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
SAN JUAN DE YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
SAN MIGUEL DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1034,1034
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,8,8
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,157,157
TARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,197,197
TIRAQUE (CBBA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,6,6
TOMINA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,4,4
TRINIDAD,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,10,10
TUPIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
URIONDO (A. CONCEPCION),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,6,6
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,2,2
VIACHA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,6,6
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,2,2
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,34,34
YOTALA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-06-01,1,1
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,6,6
AZURDUY,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
BATALLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,5,5
BOLIVAR,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,9,9
CAMIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,3,3
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,7,7
CAQUIAVIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,10,10
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,5,5
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,5,5
CHAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,2,2
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,8,8
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,9,9
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,208,208
COLCAPIRHUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,2,2
COLQUENCHA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,3,3
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,6,6
CUATRO CAÑADAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,4,4
CURAHUARA DE CARANGAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,221,221
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
ENTRE RIOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,2,2
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
IXIAMAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
JESUS DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,11,11
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,13,13
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,456,456
LAJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,2,2
MINEROS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
MOCOMOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
MONTEAGUDO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,6,6
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,3,3
NAZACARA DE PACAJES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,120,120
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,7,7
PORONGO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
PORTACHUELO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,2,2
POTOSI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
PUCARANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,3,3
PUERTO ACOSTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
PUERTO CARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,58,58
QUIRUSILLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,55,55
SALINAS DE GARCI MENDOZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
SAN IGNACIO DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,7,7
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,145,145
SANTIVAÑES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
SICAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,13,13
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,187,187
TACOPAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
TARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,2,2
TARATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,11,11
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,126,126
TEOPONTE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
TIAWANACU,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,1,1
TIQUIPAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,26,26
TIRAQUE (CBBA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,2,2
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,6,6
TRINIDAD,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,5,5
URIONDO (A. CONCEPCION),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,3,3
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,4,4
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,11,11
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,3,3
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,39,39
YOTALA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,2,2
ZUDAÑEZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-07-01,3,3
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,9,9
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,10,10
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,5,5
CAMIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,11,11
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,12,12
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,6,6
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,6,6
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,9,9
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,3,3
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,4,4
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,275,275
COLQUENCHA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,6,6
COPACABANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,6,6
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,3,3
COTAGAITA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,2,2
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,13,13
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,258,258
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,5,5
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,2,2
FERNANDEZ ALONSO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,3,3
GENERAL SAAVEDRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
GUAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,5,5
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,13,13
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,593,593
LAJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,4,4
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,162,162
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,4,4
PAPEL PAMPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
POROMA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
PORONGO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
PORTACHUELO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,8,8
POTOSI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,2,2
PUCARANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,4,4
PUERTO CARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
PUERTO QUIJARRO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
PUERTO SUAREZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,13,13
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,65,65
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,79,79
SAMAIPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
SAN IGNACIO DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,9,9
SAN JUAN DE YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,5,5
SAN PEDRO DE TIQUINA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,2,2
SAN RAMON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,4,4
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,664,664
SANTA ROSA DEL SARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,4,4
SANTIVAÑES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
SICAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,18,18
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,167,167
TACOPAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,2,2
TARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,165,165
TARVITA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
TIAWANACU,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,3,3
TIRAQUE (CBBA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,5,5
TRINIDAD,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,3,3
URIONDO (A. CONCEPCION),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,3,3
VIACHA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,5,5
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,2,2
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,7,7
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,56,56
YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-08-01,1,1
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,3,3
AYATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,2,2
BATALLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,1,1
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,13,13
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,1,1
BOLIVAR,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,1,1
"CAIZA ""D""",sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,1,1
CAMIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,4,4
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,15,15
CAQUIAVIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,1,1
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,3,3
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,6,6
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,6,6
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,4,4
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,6,6
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,240,240
COLCAPIRHUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,6,6
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,2,2
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,3,3
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,1,1
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,16,16
CUATRO CAÑADAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,4,4
CUEVO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,189,189
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,8,8
ENTRE RIOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,2,2
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,3,3
GUAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,2,2
IXIAMAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-09-01,1,1
