,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
JESUS DE MACHACA,talla para la edad (t/e),talla baja (tb),2008-04-01,10,12,20,10,35,23,65,45,110
LA PAZ,talla para la edad (t/e),talla baja (tb),2008-04-01,272,214,326,243,385,346,983,803,1786
LAJA,talla para la edad (t/e),talla baja (tb),2008-04-01,19,15,17,23,25,18,61,56,117
LAS CARRERAS,talla para la edad (t/e),talla baja (tb),2008-04-01,3,0,8,1,45,10,56,11,67
LICOMA PAMPA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,2,1,4,1,6,7
LLALLAGUA,talla para la edad (t/e),talla baja (tb),2008-04-01,9,9,13,7,46,29,68,45,113
LLICA,talla para la edad (t/e),talla baja (tb),2008-04-01,6,8,4,4,5,10,15,22,37
LORETO,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,0,1,1,1,1,2
LURIBAY,talla para la edad (t/e),talla baja (tb),2008-04-01,7,6,8,5,7,11,22,22,44
MACHACAMARCA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,3,0,1,3,4,3,7
MAGDALENA,talla para la edad (t/e),talla baja (tb),2008-04-01,2,1,3,2,0,2,5,5,10
MAIRANA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,1,1,1,1,0,2,2,4
MALLA,talla para la edad (t/e),talla baja (tb),2008-04-01,5,0,5,1,17,14,27,15,42
MECAPACA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,1,0,4,1,5,1,6
MIZQUE,talla para la edad (t/e),talla baja (tb),2008-04-01,10,10,12,21,31,31,53,62,115
MOCOMOCO,talla para la edad (t/e),talla baja (tb),2008-04-01,27,21,16,20,44,45,87,86,173
MOJINETE,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,1,1,0,2,1,3,4
MONTERO,talla para la edad (t/e),talla baja (tb),2008-04-01,1,1,4,0,0,0,5,1,6
MORO MORO,talla para la edad (t/e),talla baja (tb),2008-04-01,0,1,0,2,1,5,1,8,9
MOROCHATA,talla para la edad (t/e),talla baja (tb),2008-04-01,14,19,25,35,47,69,86,123,209
NACEBE (SANTA ROSA DEL ABUNA),talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,0,1,0,1,0,1
NAZACARA DE PACAJES,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,1,0,0,0,1,1
OCURI,talla para la edad (t/e),talla baja (tb),2008-04-01,13,7,26,18,9,13,48,38,86
OMEREQUE,talla para la edad (t/e),talla baja (tb),2008-04-01,5,3,0,5,10,12,15,20,35
ORURO,talla para la edad (t/e),talla baja (tb),2008-04-01,70,42,116,77,80,63,266,182,448
PADCAYA,talla para la edad (t/e),talla baja (tb),2008-04-01,1,1,0,0,7,7,8,8,16
PADILLA,talla para la edad (t/e),talla baja (tb),2008-04-01,13,6,74,44,114,106,201,156,357
PALCA,talla para la edad (t/e),talla baja (tb),2008-04-01,10,13,13,10,14,7,37,30,67
PAMPA AULLAGAS,talla para la edad (t/e),talla baja (tb),2008-04-01,1,3,9,3,5,7,15,13,28
PAMPA GRANDE,talla para la edad (t/e),talla baja (tb),2008-04-01,1,0,0,1,0,0,1,1,2
PASORAPA,talla para la edad (t/e),talla baja (tb),2008-04-01,1,0,0,0,0,0,1,0,1
PATACAMAYA,talla para la edad (t/e),talla baja (tb),2008-04-01,1,3,6,8,7,7,14,18,32
PAZÑA,talla para la edad (t/e),talla baja (tb),2008-04-01,6,1,16,9,6,6,28,16,44
PELECHUCO,talla para la edad (t/e),talla baja (tb),2008-04-01,7,3,16,9,12,15,35,27,62
POCOATA,talla para la edad (t/e),talla baja (tb),2008-04-01,3,4,4,3,13,4,20,11,31
POCONA,talla para la edad (t/e),talla baja (tb),2008-04-01,6,7,5,3,11,7,22,17,39
POJO (CBBA),talla para la edad (t/e),talla baja (tb),2008-04-01,1,1,4,8,9,10,14,19,33
POOPO,talla para la edad (t/e),talla baja (tb),2008-04-01,1,1,5,2,4,10,10,13,23
PORCO,talla para la edad (t/e),talla baja (tb),2008-04-01,18,20,16,10,12,12,46,42,88
POROMA,talla para la edad (t/e),talla baja (tb),2008-04-01,33,19,52,35,92,100,177,154,331
PORTACHUELO,talla para la edad (t/e),talla baja (tb),2008-04-01,8,7,5,4,7,7,20,18,38
PORVENIR,talla para la edad (t/e),talla baja (tb),2008-04-01,3,0,0,0,0,1,3,1,4
POSTRER VALLE,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,0,0,2,0,2,2
POTOSI,talla para la edad (t/e),talla baja (tb),2008-04-01,60,40,61,54,58,70,179,164,343
PRESTO,talla para la edad (t/e),talla baja (tb),2008-04-01,57,66,46,43,88,64,191,173,364
PUCARA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,0,1,0,1,0,1
PUCARANI,talla para la edad (t/e),talla baja (tb),2008-04-01,2,0,0,0,1,2,3,2,5
PUERTO CARABUCO,talla para la edad (t/e),talla baja (tb),2008-04-01,11,6,15,23,46,40,72,69,141
PUERTO GONZALO MORENO,talla para la edad (t/e),talla baja (tb),2008-04-01,1,0,3,1,5,2,9,3,12
PUERTO PEREZ,talla para la edad (t/e),talla baja (tb),2008-04-01,5,2,4,1,10,5,19,8,27
PUERTO VILLARROEL,talla para la edad (t/e),talla baja (tb),2008-04-01,17,12,24,41,31,50,72,103,175
PUNA,talla para la edad (t/e),talla baja (tb),2008-04-01,19,7,19,12,29,25,67,44,111
PUNATA,talla para la edad (t/e),talla baja (tb),2008-04-01,7,5,10,2,4,5,21,12,33
QUILLACOLLO,talla para la edad (t/e),talla baja (tb),2008-04-01,14,5,12,17,20,17,46,39,85
QUIME,talla para la edad (t/e),talla baja (tb),2008-04-01,0,1,19,10,32,21,51,32,83
RAVELO,talla para la edad (t/e),talla baja (tb),2008-04-01,3,2,8,11,18,14,29,27,56
REYES,talla para la edad (t/e),talla baja (tb),2008-04-01,5,4,6,2,9,7,20,13,33
RIBERALTA,talla para la edad (t/e),talla baja (tb),2008-04-01,42,25,56,40,41,26,139,91,230
RURRENABAQUE,talla para la edad (t/e),talla baja (tb),2008-04-01,2,2,0,0,0,0,2,2,4
SABAYA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,1,0,0,2,1,2,2,4
SACABA,talla para la edad (t/e),talla baja (tb),2008-04-01,21,18,39,18,38,36,98,72,170
SACABAMBA,talla para la edad (t/e),talla baja (tb),2008-04-01,2,0,1,1,0,1,3,2,5
SACACA,talla para la edad (t/e),talla baja (tb),2008-04-01,31,26,46,44,83,61,160,131,291
SALINAS DE GARCI MENDOZA,talla para la edad (t/e),talla baja (tb),2008-04-01,4,4,14,10,25,26,43,40,83
SAMAIPATA,talla para la edad (t/e),talla baja (tb),2008-04-01,2,0,0,1,1,2,3,3,6
SAN AGUSTIN,talla para la edad (t/e),talla baja (tb),2008-04-01,2,1,2,4,3,1,7,6,13
SAN ANDRES,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,2,2,0,0,2,2,4
SAN ANDRES DE MACHACA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,1,0,0,1,0,1,1,2
SAN ANTONIO DE LOMERIO,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,1,1,1,0,2,1,3
SAN BORJA,talla para la edad (t/e),talla baja (tb),2008-04-01,9,3,19,19,20,20,48,42,90
SAN CARLOS,talla para la edad (t/e),talla baja (tb),2008-04-01,4,4,1,1,3,4,8,9,17
SAN IGNACIO,talla para la edad (t/e),talla baja (tb),2008-04-01,8,12,10,13,11,15,29,40,69
SAN IGNACIO DE VELASCO,talla para la edad (t/e),talla baja (tb),2008-04-01,1,1,2,6,8,11,11,18,29
SAN JAVIER(BNI),talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,1,2,0,0,1,2,3
SAN JOAQUIN,talla para la edad (t/e),talla baja (tb),2008-04-01,1,0,3,1,2,1,6,2,8
SAN JOSE DE CHIQUITOS,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,1,0,0,0,1,1
SAN LORENZO(TJA),talla para la edad (t/e),talla baja (tb),2008-04-01,1,0,1,2,6,4,8,6,14
SAN LUCAS,talla para la edad (t/e),talla baja (tb),2008-04-01,100,72,144,161,360,348,604,581,1185
SAN MIGUEL DE VELASCO,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,2,0,0,0,2,0,2
SAN PABLO DE LIPEZ,talla para la edad (t/e),talla baja (tb),2008-04-01,5,1,6,7,9,12,20,20,40
SAN PEDRO DE BUENA VISTA,talla para la edad (t/e),talla baja (tb),2008-04-01,1,5,12,1,19,14,32,20,52
SAN PEDRO DE TIQUINA,talla para la edad (t/e),talla baja (tb),2008-04-01,2,3,3,4,4,6,9,13,22
SAN RAFAEL,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,0,1,0,1,0,1
SANTA ANA,talla para la edad (t/e),talla baja (tb),2008-04-01,1,4,0,1,0,0,1,5,6
SANTA CRUZ DE LA SIERRA,talla para la edad (t/e),talla baja (tb),2008-04-01,2,0,1,0,1,1,4,1,5
SANTIAGO DE CALLAPA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,1,0,0,0,1,1
SANTIAGO DE HUARI,talla para la edad (t/e),talla baja (tb),2008-04-01,5,4,12,9,23,15,40,28,68
SANTIAGO DE MACHACA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,1,2,0,0,1,2,3
SANTIVAÑES,talla para la edad (t/e),talla baja (tb),2008-04-01,1,1,6,1,2,11,9,13,22
SANTUARIO DE QUILLACAS,talla para la edad (t/e),talla baja (tb),2008-04-01,4,3,23,11,19,8,46,22,68
SAPAHAQUI,talla para la edad (t/e),talla baja (tb),2008-04-01,9,6,26,18,32,25,67,49,116
SICA SICA (VILLA AROMA),talla para la edad (t/e),talla baja (tb),2008-04-01,6,3,7,5,6,3,19,11,30
SICAYA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,1,1,5,3,6,4,10
SIPE SIPE,talla para la edad (t/e),talla baja (tb),2008-04-01,1,3,0,2,2,3,3,8,11
SOPACHUY,talla para la edad (t/e),talla baja (tb),2008-04-01,24,12,53,28,93,105,170,145,315
SORACACHI,talla para la edad (t/e),talla baja (tb),2008-04-01,4,5,4,5,13,21,21,31,52
SUCRE,talla para la edad (t/e),talla baja (tb),2008-04-01,10,9,23,19,66,59,99,87,186
TACACHI,talla para la edad (t/e),talla baja (tb),2008-04-01,1,0,0,1,2,0,3,1,4
TACOBAMBA,talla para la edad (t/e),talla baja (tb),2008-04-01,7,6,10,8,31,21,48,35,83
TACOPAYA,talla para la edad (t/e),talla baja (tb),2008-04-01,22,23,27,20,38,42,87,85,172
TAHUA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,1,0,0,1,0,1,1,2
TAPACARI,talla para la edad (t/e),talla baja (tb),2008-04-01,11,2,18,11,18,12,47,25,72
TARABUCO,talla para la edad (t/e),talla baja (tb),2008-04-01,10,6,11,12,24,31,45,49,94
TARACO,talla para la edad (t/e),talla baja (tb),2008-04-01,4,1,4,2,1,1,9,4,13
TARATA,talla para la edad (t/e),talla baja (tb),2008-04-01,5,2,10,5,8,10,23,17,40
TARIJA,talla para la edad (t/e),talla baja (tb),2008-04-01,2,1,2,2,4,4,8,7,15
TARVITA,talla para la edad (t/e),talla baja (tb),2008-04-01,41,43,82,74,208,180,331,297,628
TIAWANACU,talla para la edad (t/e),talla baja (tb),2008-04-01,2,4,1,1,4,3,7,8,15
TINGUIPAYA,talla para la edad (t/e),talla baja (tb),2008-04-01,13,8,10,8,17,16,40,32,72
TIQUIPAYA,talla para la edad (t/e),talla baja (tb),2008-04-01,7,7,6,3,3,10,16,20,36
TIRAQUE (CBBA),talla para la edad (t/e),talla baja (tb),2008-04-01,28,15,15,7,28,31,71,53,124
TOCO,talla para la edad (t/e),talla baja (tb),2008-04-01,2,0,5,0,1,0,8,0,8
TOLATA,talla para la edad (t/e),talla baja (tb),2008-04-01,2,2,2,0,3,0,7,2,9
TOLEDO,talla para la edad (t/e),talla baja (tb),2008-04-01,1,0,0,0,0,0,1,0,1
TOMAVE,talla para la edad (t/e),talla baja (tb),2008-04-01,5,4,3,2,12,9,20,15,35
TOMINA,talla para la edad (t/e),talla baja (tb),2008-04-01,7,4,8,7,33,34,48,45,93
TORO TORO,talla para la edad (t/e),talla baja (tb),2008-04-01,24,14,31,26,54,65,109,105,214
TOTORA(CBBA),talla para la edad (t/e),talla baja (tb),2008-04-01,4,2,13,6,5,3,22,11,33
TOTORA(ORR),talla para la edad (t/e),talla baja (tb),2008-04-01,4,0,3,4,5,9,12,13,25
TRINIDAD,talla para la edad (t/e),talla baja (tb),2008-04-01,15,22,19,13,6,9,40,44,84
TUPIZA,talla para la edad (t/e),talla baja (tb),2008-04-01,21,23,25,30,42,44,88,97,185
TURCO,talla para la edad (t/e),talla baja (tb),2008-04-01,6,1,8,6,4,4,18,11,29
UMALA,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,2,2,4,3,6,5,11
UNCIA,talla para la edad (t/e),talla baja (tb),2008-04-01,8,3,9,14,28,22,45,39,84
URIONDO (A. CONCEPCION),talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,1,3,2,3,3,6
UYUNI,talla para la edad (t/e),talla baja (tb),2008-04-01,17,10,15,14,37,25,69,49,118
VACAS,talla para la edad (t/e),talla baja (tb),2008-04-01,3,3,14,5,10,5,27,13,40
VALLEGRANDE,talla para la edad (t/e),talla baja (tb),2008-04-01,0,1,0,0,1,0,1,1,2
VIACHA,talla para la edad (t/e),talla baja (tb),2008-04-01,5,6,6,5,8,6,19,17,36
VILA VILA,talla para la edad (t/e),talla baja (tb),2008-04-01,6,7,6,13,13,18,25,38,63
VILLA RIVERO,talla para la edad (t/e),talla baja (tb),2008-04-01,2,4,6,1,5,4,13,9,22
VILLA SERRANO,talla para la edad (t/e),talla baja (tb),2008-04-01,3,6,15,16,43,42,61,64,125
VILLA TUNARI,talla para la edad (t/e),talla baja (tb),2008-04-01,38,22,70,62,79,92,187,176,363
VITICHI,talla para la edad (t/e),talla baja (tb),2008-04-01,10,14,21,29,50,55,81,98,179
WALDO BALLIVIAN,talla para la edad (t/e),talla baja (tb),2008-04-01,3,6,4,2,5,11,12,19,31
WARNES,talla para la edad (t/e),talla baja (tb),2008-04-01,0,0,0,2,2,0,2,2,4
YACO,talla para la edad (t/e),talla baja (tb),2008-04-01,3,8,16,15,23,32,42,55,97
YACUIBA,talla para la edad (t/e),talla baja (tb),2008-04-01,6,12,8,13,19,19,33,44,77
YAMPARAEZ,talla para la edad (t/e),talla baja (tb),2008-04-01,3,1,7,5,16,18,26,24,50
YANACACHI,talla para la edad (t/e),talla baja (tb),2008-04-01,1,0,0,1,5,2,6,3,9
YAPACANI,talla para la edad (t/e),talla baja (tb),2008-04-01,13,5,13,12,7,5,33,22,55
YOTALA,talla para la edad (t/e),talla baja (tb),2008-04-01,44,48,46,30,75,85,165,163,328
YUNCHARA,talla para la edad (t/e),talla baja (tb),2008-04-01,10,11,16,13,44,34,70,58,128
ZUDAÑEZ,talla para la edad (t/e),talla baja (tb),2008-04-01,1,2,3,5,9,6,13,13,26
ACACIO,talla para la edad (t/e),talla baja (tb),2008-05-01,7,7,10,10,13,19,30,36,66
ACHACACHI,talla para la edad (t/e),talla baja (tb),2008-05-01,11,8,13,8,31,19,55,35,90
ACHOCALLA,talla para la edad (t/e),talla baja (tb),2008-05-01,3,2,2,3,1,3,6,8,14
AIQUILE,talla para la edad (t/e),talla baja (tb),2008-05-01,15,15,23,23,49,43,87,81,168
ALALAY,talla para la edad (t/e),talla baja (tb),2008-05-01,6,2,11,5,20,22,37,29,66
ALCALA,talla para la edad (t/e),talla baja (tb),2008-05-01,3,3,7,14,27,22,37,39,76
ANCORAIMES,talla para la edad (t/e),talla baja (tb),2008-05-01,22,14,27,8,29,19,78,41,119
ANDAMARCA,talla para la edad (t/e),talla baja (tb),2008-05-01,2,1,1,0,0,0,3,1,4
ANTEQUERA,talla para la edad (t/e),talla baja (tb),2008-05-01,4,1,0,2,1,0,5,3,8
ANZALDO,talla para la edad (t/e),talla baja (tb),2008-05-01,0,1,2,4,6,9,8,14,22
APOLO,talla para la edad (t/e),talla baja (tb),2008-05-01,2,6,23,21,36,51,61,78,139
ARAMPAMPA,talla para la edad (t/e),talla baja (tb),2008-05-01,16,6,15,12,37,32,68,50,118
ARANI,talla para la edad (t/e),talla baja (tb),2008-05-01,7,8,10,5,11,16,28,29,57
ARBIETO,talla para la edad (t/e),talla baja (tb),2008-05-01,4,5,4,8,8,13,16,26,42
ARQUE,talla para la edad (t/e),talla baja (tb),2008-05-01,21,10,14,16,46,48,81,74,155
ASCENCION DE GUARAYOS,talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,4,4,0,0,4,4,8
ATOCHA,talla para la edad (t/e),talla baja (tb),2008-05-01,17,10,11,12,12,11,40,33,73
AUCAPATA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,5,13,15,8,9,21,29,50
AYATA,talla para la edad (t/e),talla baja (tb),2008-05-01,5,9,17,8,20,20,42,37,79
AYO AYO,talla para la edad (t/e),talla baja (tb),2008-05-01,4,7,4,4,8,4,16,15,31
AYOPAYA (V. DE INDEPENDENCIA),talla para la edad (t/e),talla baja (tb),2008-05-01,18,10,36,18,26,48,80,76,156
BATALLAS,talla para la edad (t/e),talla baja (tb),2008-05-01,9,6,13,10,13,2,35,18,53
BAURES,talla para la edad (t/e),talla baja (tb),2008-05-01,0,1,3,1,4,3,7,5,12
BELEN DE ANDAMARCA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,1,1,0,2,0,3,1,4
BELEN DE URMIRI,talla para la edad (t/e),talla baja (tb),2008-05-01,1,0,3,4,6,1,10,5,15
BELLA FLOR,talla para la edad (t/e),talla baja (tb),2008-05-01,3,2,2,4,6,6,11,12,23
BERMEJO,talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,2,2,1,5,3,7,10
BETANZOS,talla para la edad (t/e),talla baja (tb),2008-05-01,49,30,90,83,130,97,269,210,479
BOLIVAR,talla para la edad (t/e),talla baja (tb),2008-05-01,26,18,33,21,40,39,99,78,177
BOLPEBRA,talla para la edad (t/e),talla baja (tb),2008-05-01,1,0,1,0,0,3,2,3,5
BUENA VISTA,talla para la edad (t/e),talla baja (tb),2008-05-01,1,0,0,0,1,8,2,8,10
CAIROMA,talla para la edad (t/e),talla baja (tb),2008-05-01,19,21,48,42,53,77,120,140,260
"CAIZA ""D""",talla para la edad (t/e),talla baja (tb),2008-05-01,6,9,20,17,39,27,65,53,118
CALACOTO,talla para la edad (t/e),talla baja (tb),2008-05-01,6,3,16,17,19,19,41,39,80
CALAMARCA,talla para la edad (t/e),talla baja (tb),2008-05-01,15,17,31,18,36,39,82,74,156
CAMARGO,talla para la edad (t/e),talla baja (tb),2008-05-01,11,14,14,18,54,68,79,100,179
CAMATAQUI (C. VILLA ABECIA),talla para la edad (t/e),talla baja (tb),2008-05-01,2,0,7,6,20,14,29,20,49
CAPINOTA,talla para la edad (t/e),talla baja (tb),2008-05-01,2,3,14,8,19,30,35,41,76
CAQUIAVIRI,talla para la edad (t/e),talla baja (tb),2008-05-01,3,14,19,12,5,35,27,61,88
CARACOLLO,talla para la edad (t/e),talla baja (tb),2008-05-01,9,11,13,8,5,19,27,38,65
CARAPARI,talla para la edad (t/e),talla baja (tb),2008-05-01,0,1,1,2,3,2,4,5,9
CARIPUYO,talla para la edad (t/e),talla baja (tb),2008-05-01,27,26,42,32,94,103,163,161,324
CATACORA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,2,4,10,6,12,10,22
CHALLAPATA,talla para la edad (t/e),talla baja (tb),2008-05-01,28,15,22,24,70,67,120,106,226
CHAQUI,talla para la edad (t/e),talla baja (tb),2008-05-01,3,1,3,2,8,5,14,8,22
CHARAÑA,talla para la edad (t/e),talla baja (tb),2008-05-01,1,0,1,2,5,8,7,10,17
CHAYANTA,talla para la edad (t/e),talla baja (tb),2008-05-01,2,2,3,2,6,4,11,8,19
CHIMORE,talla para la edad (t/e),talla baja (tb),2008-05-01,1,1,0,2,1,7,2,10,12
CHOQUE COTA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,2,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,0,1,1,1,1,2,3
CHUMA,talla para la edad (t/e),talla baja (tb),2008-05-01,8,6,14,11,44,43,66,60,126
CLIZA,talla para la edad (t/e),talla baja (tb),2008-05-01,15,3,3,0,4,2,22,5,27
COBIJA,talla para la edad (t/e),talla baja (tb),2008-05-01,9,3,16,6,13,9,38,18,56
COIPASA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,1,0,0,0,1,0,1
COLCAPIRHUA,talla para la edad (t/e),talla baja (tb),2008-05-01,7,5,5,2,3,3,15,10,25
"COLCHA ""K""",talla para la edad (t/e),talla baja (tb),2008-05-01,10,6,12,8,13,10,35,24,59
COLLANA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,0,0,0,2,0,2,2
COLOMI,talla para la edad (t/e),talla baja (tb),2008-05-01,13,13,12,16,26,17,51,46,97
COLQUECHACA,talla para la edad (t/e),talla baja (tb),2008-05-01,46,41,79,73,41,29,166,143,309
COLQUENCHA,talla para la edad (t/e),talla baja (tb),2008-05-01,7,3,3,1,8,8,18,12,30
COLQUIRI,talla para la edad (t/e),talla baja (tb),2008-05-01,1,1,1,2,4,1,6,4,10
COMANCHE,talla para la edad (t/e),talla baja (tb),2008-05-01,4,3,8,7,4,4,16,14,30
COMARAPA,talla para la edad (t/e),talla baja (tb),2008-05-01,17,9,13,9,10,11,40,29,69
COMBAYA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,1,0,1,0,0,0,2,2
CONCEPCION,talla para la edad (t/e),talla baja (tb),2008-05-01,1,3,0,0,0,1,1,4,5
COPACABANA,talla para la edad (t/e),talla baja (tb),2008-05-01,8,7,8,5,5,8,21,20,41
CORIPATA,talla para la edad (t/e),talla baja (tb),2008-05-01,1,3,0,3,0,1,1,7,8
CORO CORO,talla para la edad (t/e),talla baja (tb),2008-05-01,9,9,7,9,13,16,29,34,63
COROICO,talla para la edad (t/e),talla baja (tb),2008-05-01,4,1,9,8,25,30,38,39,77
CORQUE,talla para la edad (t/e),talla baja (tb),2008-05-01,3,1,5,2,3,2,11,5,16
COTAGAITA,talla para la edad (t/e),talla baja (tb),2008-05-01,11,6,20,15,37,35,68,56,124
CULPINA,talla para la edad (t/e),talla baja (tb),2008-05-01,7,9,26,25,58,45,91,79,170
CURAHUARA DE CARANGAS,talla para la edad (t/e),talla baja (tb),2008-05-01,7,3,8,6,9,4,24,13,37
CURVA,talla para la edad (t/e),talla baja (tb),2008-05-01,5,0,9,3,8,4,22,7,29
DESAGUADERO,talla para la edad (t/e),talla baja (tb),2008-05-01,2,1,2,5,4,5,8,11,19
EL ALTO,talla para la edad (t/e),talla baja (tb),2008-05-01,306,246,366,265,515,439,1187,950,2137
EL CHORO,talla para la edad (t/e),talla baja (tb),2008-05-01,2,0,6,0,1,1,9,1,10
EL PUENTE(STC),talla para la edad (t/e),talla baja (tb),2008-05-01,1,7,12,11,15,21,28,39,67
EL PUENTE(TJA),talla para la edad (t/e),talla baja (tb),2008-05-01,1,2,3,3,8,6,12,11,23
EL VILLAR,talla para la edad (t/e),talla baja (tb),2008-05-01,5,3,9,6,25,25,39,34,73
ENTRE RIOS,talla para la edad (t/e),talla baja (tb),2008-05-01,5,3,16,9,17,21,38,33,71
ENTRE RIOS,talla para la edad (t/e),talla baja (tb),2008-05-01,6,8,6,6,20,22,32,36,68
EUCALIPTUS,talla para la edad (t/e),talla baja (tb),2008-05-01,1,0,0,4,3,4,4,8,12
EXALTACION,talla para la edad (t/e),talla baja (tb),2008-05-01,2,0,0,2,2,0,4,2,6
FERNANDEZ ALONSO,talla para la edad (t/e),talla baja (tb),2008-05-01,1,2,3,2,1,1,5,5,10
FILADELFIA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,0,0,1,3,1,3,4
GENERAL SAAVEDRA,talla para la edad (t/e),talla baja (tb),2008-05-01,2,0,4,1,3,1,9,2,11
GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla baja (tb),2008-05-01,11,9,13,17,44,35,68,61,129
GUANAY,talla para la edad (t/e),talla baja (tb),2008-05-01,8,7,21,7,12,15,41,29,70
GUAQUI,talla para la edad (t/e),talla baja (tb),2008-05-01,3,0,1,0,3,5,7,5,12
GUAYARAMERIN,talla para la edad (t/e),talla baja (tb),2008-05-01,12,9,2,7,4,7,18,23,41
HUANUNI,talla para la edad (t/e),talla baja (tb),2008-05-01,8,4,6,5,6,3,20,12,32
HUARACAJE,talla para la edad (t/e),talla baja (tb),2008-05-01,1,0,3,0,5,4,9,4,13
HUAYLLAMARCA,talla para la edad (t/e),talla baja (tb),2008-05-01,1,2,0,0,1,3,2,5,7
ICHOCA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,1,1,0,0,1,1,2
ICLA,talla para la edad (t/e),talla baja (tb),2008-05-01,21,19,50,52,119,133,190,204,394
INCAHUASI,talla para la edad (t/e),talla baja (tb),2008-05-01,58,42,79,86,162,192,299,320,619
INQUISIVI,talla para la edad (t/e),talla baja (tb),2008-05-01,5,5,8,4,6,6,19,15,34
IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla baja (tb),2008-05-01,1,2,5,8,15,11,21,21,42
IXIAMAS,talla para la edad (t/e),talla baja (tb),2008-05-01,2,1,2,4,3,16,7,21,28
JESUS DE MACHACA,talla para la edad (t/e),talla baja (tb),2008-05-01,9,11,15,15,37,27,61,53,114
LA ASUNTA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,0,1,0,0,0,1,1
LA PAZ,talla para la edad (t/e),talla baja (tb),2008-05-01,261,185,240,186,279,259,780,630,1410
LAJA,talla para la edad (t/e),talla baja (tb),2008-05-01,12,9,16,18,19,15,47,42,89
LAS CARRERAS,talla para la edad (t/e),talla baja (tb),2008-05-01,0,0,5,4,16,9,21,13,34
LICOMA PAMPA,talla para la edad (t/e),talla baja (tb),2008-05-01,0,1,2,1,3,1,5,3,8
LLALLAGUA,talla para la edad (t/e),talla baja (tb),2008-05-01,5,5,9,5,11,14,25,24,49
LLICA,talla para la edad (t/e),talla baja (tb),2008-05-01,5,13,13,6,9,12,27,31,58
LORETO,talla para la edad (t/e),talla baja (tb),2008-05-01,0,1,1,0,0,0,1,1,2
LURIBAY,talla para la edad (t/e),talla baja (tb),2008-05-01,4,3,12,7,15,17,31,27,58
MACHACAMARCA,talla para la edad (t/e),talla baja (tb),2008-05-01,1,0,2,0,2,2,5,2,7
MAGDALENA,talla para la edad (t/e),talla baja (tb),2008-05-01,1,0,3,3,1,3,5,6,11
MAIRANA,talla para la edad (t/e),talla baja (tb),2008-05-01,1,0,1,0,3,0,5,0,5
MALLA,talla para la edad (t/e),talla baja (tb),2008-05-01,4,3,7,3,23,25,34,31,65
MECAPACA,talla para la edad (t/e),talla baja (tb),2008-05-01,3,1,3,2,4,0,10,3,13
MINEROS,talla para la edad (t/e),talla baja (tb),2008-05-01,1,3,12,7,8,7,21,17,38
MIZQUE,talla para la edad (t/e),talla baja (tb),2008-05-01,18,13,26,13,52,47,96,73,169
MOCOMOCO,talla para la edad (t/e),talla baja (tb),2008-05-01,13,8,21,12,40,41,74,61,135
MOJINETE,talla para la edad (t/e),talla baja (tb),2008-05-01,0,2,2,0,3,1,5,3,8
