,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
SAN PABLO DE LIPEZ,talla para la edad (t/e),talla normal (t n),2008-04-01,17,20,15,12,15,18,47,50,97
SAN PEDRO,talla para la edad (t/e),talla normal (t n),2008-04-01,7,3,0,0,0,0,7,3,10
SAN PEDRO DE BUENA VISTA,talla para la edad (t/e),talla normal (t n),2008-04-01,34,43,48,23,46,44,128,110,238
SAN PEDRO DE QUEMES,talla para la edad (t/e),talla normal (t n),2008-04-01,4,4,1,2,6,5,11,11,22
SAN PEDRO DE TIQUINA,talla para la edad (t/e),talla normal (t n),2008-04-01,11,13,8,11,16,17,35,41,76
SAN RAFAEL,talla para la edad (t/e),talla normal (t n),2008-04-01,10,11,7,13,9,12,26,36,62
SANTA ANA,talla para la edad (t/e),talla normal (t n),2008-04-01,159,158,107,85,82,74,348,317,665
SANTA CRUZ DE LA SIERRA,talla para la edad (t/e),talla normal (t n),2008-04-01,0,0,0,0,0,0,0,0,0
SANTIAGO DE CALLAPA,talla para la edad (t/e),talla normal (t n),2008-04-01,2,6,0,0,5,10,7,16,23
SANTIAGO DE HUARI,talla para la edad (t/e),talla normal (t n),2008-04-01,13,11,8,10,21,24,42,45,87
SANTIAGO DE MACHACA,talla para la edad (t/e),talla normal (t n),2008-04-01,1,1,1,1,2,1,4,3,7
SANTIVAÑES,talla para la edad (t/e),talla normal (t n),2008-04-01,19,26,24,11,38,23,81,60,141
SANTUARIO DE QUILLACAS,talla para la edad (t/e),talla normal (t n),2008-04-01,10,19,13,9,41,43,64,71,135
SAPAHAQUI,talla para la edad (t/e),talla normal (t n),2008-04-01,41,51,38,32,57,76,136,159,295
SICA SICA (VILLA AROMA),talla para la edad (t/e),talla normal (t n),2008-04-01,35,31,31,29,27,28,93,88,181
SICAYA,talla para la edad (t/e),talla normal (t n),2008-04-01,6,6,2,2,5,1,13,9,22
SIPE SIPE,talla para la edad (t/e),talla normal (t n),2008-04-01,2,2,5,1,1,1,8,4,12
SOPACHUY,talla para la edad (t/e),talla normal (t n),2008-04-01,62,62,45,53,92,91,199,206,405
SORACACHI,talla para la edad (t/e),talla normal (t n),2008-04-01,93,29,23,11,20,23,136,63,199
SORATA,talla para la edad (t/e),talla normal (t n),2008-04-01,7,6,2,2,4,5,13,13,26
SUCRE,talla para la edad (t/e),talla normal (t n),2008-04-01,227,198,121,118,261,218,609,534,1143
TACACHI,talla para la edad (t/e),talla normal (t n),2008-04-01,5,7,2,3,0,0,7,10,17
TACOBAMBA,talla para la edad (t/e),talla normal (t n),2008-04-01,40,33,16,18,22,27,78,78,156
TACOPAYA,talla para la edad (t/e),talla normal (t n),2008-04-01,43,36,17,20,17,28,77,84,161
TAHUA,talla para la edad (t/e),talla normal (t n),2008-04-01,3,4,0,0,2,1,5,5,10
TAPACARI,talla para la edad (t/e),talla normal (t n),2008-04-01,29,19,25,10,16,7,70,36,106
TARABUCO,talla para la edad (t/e),talla normal (t n),2008-04-01,7,7,1,4,9,7,17,18,35
TARACO,talla para la edad (t/e),talla normal (t n),2008-04-01,21,19,16,14,8,11,45,44,89
TARATA,talla para la edad (t/e),talla normal (t n),2008-04-01,68,53,42,39,52,62,162,154,316
TARIJA,talla para la edad (t/e),talla normal (t n),2008-04-01,16,14,15,14,11,6,42,34,76
TARVITA,talla para la edad (t/e),talla normal (t n),2008-04-01,126,120,78,104,161,158,365,382,747
TIAWANACU,talla para la edad (t/e),talla normal (t n),2008-04-01,71,64,33,40,32,33,136,137,273
TINGUIPAYA,talla para la edad (t/e),talla normal (t n),2008-04-01,16,5,6,2,5,5,27,12,39
TIQUIPAYA,talla para la edad (t/e),talla normal (t n),2008-04-01,40,27,21,12,22,19,83,58,141
TIRAQUE (CBBA),talla para la edad (t/e),talla normal (t n),2008-04-01,150,140,83,81,138,136,371,357,728
TITO YUPANQUI (PARQUIPUJIO),talla para la edad (t/e),talla normal (t n),2008-04-01,2,1,0,0,0,0,2,1,3
TOCO,talla para la edad (t/e),talla normal (t n),2008-04-01,27,29,30,28,33,29,90,86,176
TODOS SANTOS,talla para la edad (t/e),talla normal (t n),2008-04-01,0,0,0,0,0,1,0,1,1
TOLATA,talla para la edad (t/e),talla normal (t n),2008-04-01,11,13,9,9,14,13,34,35,69
TOMAVE,talla para la edad (t/e),talla normal (t n),2008-04-01,10,8,5,3,12,9,27,20,47
TOMINA,talla para la edad (t/e),talla normal (t n),2008-04-01,13,23,19,25,50,30,82,78,160
TORO TORO,talla para la edad (t/e),talla normal (t n),2008-04-01,59,58,42,61,92,82,193,201,394
TOTORA(CBBA),talla para la edad (t/e),talla normal (t n),2008-04-01,36,24,30,15,14,9,80,48,128
TOTORA(ORR),talla para la edad (t/e),talla normal (t n),2008-04-01,35,28,20,29,21,44,76,101,177
TRIGAL,talla para la edad (t/e),talla normal (t n),2008-04-01,3,4,4,4,8,9,15,17,32
TRINIDAD,talla para la edad (t/e),talla normal (t n),2008-04-01,150,103,87,91,114,97,351,291,642
TUPIZA,talla para la edad (t/e),talla normal (t n),2008-04-01,205,162,118,99,187,192,510,453,963
TURCO,talla para la edad (t/e),talla normal (t n),2008-04-01,8,6,10,4,8,7,26,17,43
UMALA,talla para la edad (t/e),talla normal (t n),2008-04-01,21,15,14,10,24,35,59,60,119
UNCIA,talla para la edad (t/e),talla normal (t n),2008-04-01,7,4,4,5,15,12,26,21,47
URIONDO (A. CONCEPCION),talla para la edad (t/e),talla normal (t n),2008-04-01,5,6,3,5,11,6,19,17,36
UYUNI,talla para la edad (t/e),talla normal (t n),2008-04-01,15,14,11,16,21,27,47,57,104
VACAS,talla para la edad (t/e),talla normal (t n),2008-04-01,26,32,17,21,33,27,76,80,156
VALLEGRANDE,talla para la edad (t/e),talla normal (t n),2008-04-01,7,5,7,6,7,8,21,19,40
VIACHA,talla para la edad (t/e),talla normal (t n),2008-04-01,155,153,85,80,79,73,319,306,625
VILA VILA,talla para la edad (t/e),talla normal (t n),2008-04-01,16,16,14,8,17,25,47,49,96
VILLA RIVERO,talla para la edad (t/e),talla normal (t n),2008-04-01,15,31,8,10,22,26,45,67,112
VILLA SERRANO,talla para la edad (t/e),talla normal (t n),2008-04-01,72,61,37,49,104,96,213,206,419
VILLA TUNARI,talla para la edad (t/e),talla normal (t n),2008-04-01,538,455,329,268,465,350,1332,1073,2405
VITICHI,talla para la edad (t/e),talla normal (t n),2008-04-01,69,51,49,44,79,74,197,169,366
WALDO BALLIVIAN,talla para la edad (t/e),talla normal (t n),2008-04-01,5,13,6,4,9,10,20,27,47
WARNES,talla para la edad (t/e),talla normal (t n),2008-04-01,4,4,7,0,0,0,11,4,15
YACO,talla para la edad (t/e),talla normal (t n),2008-04-01,21,41,20,14,34,37,75,92,167
YACUIBA,talla para la edad (t/e),talla normal (t n),2008-04-01,63,60,31,40,77,75,171,175,346
YAMPARAEZ,talla para la edad (t/e),talla normal (t n),2008-04-01,49,47,24,21,64,67,137,135,272
YANACACHI,talla para la edad (t/e),talla normal (t n),2008-04-01,19,17,1,8,14,24,34,49,83
YAPACANI,talla para la edad (t/e),talla normal (t n),2008-04-01,68,46,70,55,51,57,189,158,347
YOTALA,talla para la edad (t/e),talla normal (t n),2008-04-01,3,1,1,1,0,4,4,6,10
YUNCHARA,talla para la edad (t/e),talla normal (t n),2008-04-01,28,28,14,26,46,45,88,99,187
ZUDAÑEZ,talla para la edad (t/e),talla normal (t n),2008-04-01,5,7,4,6,18,15,27,28,55
ACACIO,talla para la edad (t/e),talla normal (t n),2008-05-01,17,13,9,14,5,2,31,29,60
ACHACACHI,talla para la edad (t/e),talla normal (t n),2008-05-01,104,114,58,51,96,150,258,315,573
ACHOCALLA,talla para la edad (t/e),talla normal (t n),2008-05-01,18,33,5,11,18,17,41,61,102
AIQUILE,talla para la edad (t/e),talla normal (t n),2008-05-01,46,61,37,30,66,54,149,145,294
ALALAY,talla para la edad (t/e),talla normal (t n),2008-05-01,24,15,11,6,11,9,46,30,76
ALCALA,talla para la edad (t/e),talla normal (t n),2008-05-01,22,17,22,24,49,59,93,100,193
ANCORAIMES,talla para la edad (t/e),talla normal (t n),2008-05-01,39,31,27,23,47,37,113,91,204
ANDAMARCA,talla para la edad (t/e),talla normal (t n),2008-05-01,1,3,0,0,4,1,5,4,9
ANTEQUERA,talla para la edad (t/e),talla normal (t n),2008-05-01,8,2,4,5,2,1,14,8,22
ANZALDO,talla para la edad (t/e),talla normal (t n),2008-05-01,23,18,21,20,17,15,61,53,114
APOLO,talla para la edad (t/e),talla normal (t n),2008-05-01,87,91,76,55,117,97,280,243,523
ARAMPAMPA,talla para la edad (t/e),talla normal (t n),2008-05-01,31,20,11,19,24,40,66,79,145
ARANI,talla para la edad (t/e),talla normal (t n),2008-05-01,35,24,26,25,56,59,117,108,225
ARBIETO,talla para la edad (t/e),talla normal (t n),2008-05-01,48,41,57,38,100,75,205,154,359
ARQUE,talla para la edad (t/e),talla normal (t n),2008-05-01,48,41,29,34,37,43,114,118,232
ASCENCION DE GUARAYOS,talla para la edad (t/e),talla normal (t n),2008-05-01,0,0,4,4,0,0,4,4,8
ATOCHA,talla para la edad (t/e),talla normal (t n),2008-05-01,61,54,28,26,47,56,136,136,272
AUCAPATA,talla para la edad (t/e),talla normal (t n),2008-05-01,15,13,7,7,8,7,30,27,57
AYATA,talla para la edad (t/e),talla normal (t n),2008-05-01,55,48,31,36,35,23,121,107,228
AYO AYO,talla para la edad (t/e),talla normal (t n),2008-05-01,19,22,9,19,9,13,37,54,91
AYOPAYA (V. DE INDEPENDENCIA),talla para la edad (t/e),talla normal (t n),2008-05-01,115,116,97,99,135,133,347,348,695
BATALLAS,talla para la edad (t/e),talla normal (t n),2008-05-01,71,78,71,58,60,56,202,192,394
BAURES,talla para la edad (t/e),talla normal (t n),2008-05-01,24,33,22,14,38,50,84,97,181
BELEN DE ANDAMARCA,talla para la edad (t/e),talla normal (t n),2008-05-01,0,1,0,0,0,0,0,1,1
BELEN DE URMIRI,talla para la edad (t/e),talla normal (t n),2008-05-01,3,4,4,3,10,2,17,9,26
BELLA FLOR,talla para la edad (t/e),talla normal (t n),2008-05-01,5,4,12,11,11,12,28,27,55
BERMEJO,talla para la edad (t/e),talla normal (t n),2008-05-01,34,19,11,8,11,13,56,40,96
BETANZOS,talla para la edad (t/e),talla normal (t n),2008-05-01,123,106,104,76,108,123,335,305,640
BOLIVAR,talla para la edad (t/e),talla normal (t n),2008-05-01,32,32,13,16,19,34,64,82,146
BOLPEBRA,talla para la edad (t/e),talla normal (t n),2008-05-01,7,2,0,8,4,6,11,16,27
BUENA VISTA,talla para la edad (t/e),talla normal (t n),2008-05-01,22,32,29,26,27,19,78,77,155
CAIROMA,talla para la edad (t/e),talla normal (t n),2008-05-01,66,69,45,49,77,78,188,196,384
"CAIZA ""D""",talla para la edad (t/e),talla normal (t n),2008-05-01,41,46,27,27,43,47,111,120,231
CALACOTO,talla para la edad (t/e),talla normal (t n),2008-05-01,36,27,17,29,33,30,86,86,172
CALAMARCA,talla para la edad (t/e),talla normal (t n),2008-05-01,58,76,44,60,83,82,185,218,403
CAMARGO,talla para la edad (t/e),talla normal (t n),2008-05-01,93,84,59,61,130,135,282,280,562
CAMATAQUI (C. VILLA ABECIA),talla para la edad (t/e),talla normal (t n),2008-05-01,22,37,19,30,32,22,73,89,162
CAPINOTA,talla para la edad (t/e),talla normal (t n),2008-05-01,21,19,5,2,18,16,44,37,81
CAQUIAVIRI,talla para la edad (t/e),talla normal (t n),2008-05-01,26,16,15,14,19,23,60,53,113
CARACOLLO,talla para la edad (t/e),talla normal (t n),2008-05-01,94,96,56,56,35,37,185,189,374
CARANGAS,talla para la edad (t/e),talla normal (t n),2008-05-01,1,0,0,1,0,0,1,1,2
CARAPARI,talla para la edad (t/e),talla normal (t n),2008-05-01,4,2,0,1,0,2,4,5,9
CARIPUYO,talla para la edad (t/e),talla normal (t n),2008-05-01,30,44,29,33,49,56,108,133,241
CARMEN RIVERO TORREZ,talla para la edad (t/e),talla normal (t n),2008-05-01,0,0,0,0,1,0,1,0,1
CATACORA,talla para la edad (t/e),talla normal (t n),2008-05-01,0,2,4,2,4,2,8,6,14
CHALLAPATA,talla para la edad (t/e),talla normal (t n),2008-05-01,41,39,22,21,35,45,98,105,203
CHAQUI,talla para la edad (t/e),talla normal (t n),2008-05-01,18,10,1,8,9,8,28,26,54
CHARAÑA,talla para la edad (t/e),talla normal (t n),2008-05-01,14,15,5,11,7,13,26,39,65
CHAYANTA,talla para la edad (t/e),talla normal (t n),2008-05-01,6,6,5,4,6,11,17,21,38
CHIMORE,talla para la edad (t/e),talla normal (t n),2008-05-01,22,14,12,18,15,11,49,43,92
CHIPAYA,talla para la edad (t/e),talla normal (t n),2008-05-01,2,0,1,0,1,1,4,1,5
CHOQUE COTA,talla para la edad (t/e),talla normal (t n),2008-05-01,4,0,0,0,0,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),talla para la edad (t/e),talla normal (t n),2008-05-01,2,6,1,5,4,5,7,16,23
CHUMA,talla para la edad (t/e),talla normal (t n),2008-05-01,35,35,19,43,31,36,85,114,199
CLIZA,talla para la edad (t/e),talla normal (t n),2008-05-01,98,96,49,49,70,64,217,209,426
COBIJA,talla para la edad (t/e),talla normal (t n),2008-05-01,159,168,106,88,116,109,381,365,746
COIPASA,talla para la edad (t/e),talla normal (t n),2008-05-01,1,1,0,1,0,0,1,2,3
COLCAPIRHUA,talla para la edad (t/e),talla normal (t n),2008-05-01,88,84,44,43,60,69,192,196,388
"COLCHA ""K""",talla para la edad (t/e),talla normal (t n),2008-05-01,59,55,33,19,50,45,142,119,261
COLLANA,talla para la edad (t/e),talla normal (t n),2008-05-01,5,4,4,9,4,0,13,13,26
COLOMI,talla para la edad (t/e),talla normal (t n),2008-05-01,98,97,59,41,62,60,219,198,417
COLQUECHACA,talla para la edad (t/e),talla normal (t n),2008-05-01,114,122,65,75,47,52,226,249,475
COLQUENCHA,talla para la edad (t/e),talla normal (t n),2008-05-01,33,33,41,35,59,47,133,115,248
COLQUIRI,talla para la edad (t/e),talla normal (t n),2008-05-01,25,35,2,11,2,3,29,49,78
COMANCHE,talla para la edad (t/e),talla normal (t n),2008-05-01,9,5,14,6,18,10,41,21,62
COMARAPA,talla para la edad (t/e),talla normal (t n),2008-05-01,110,72,33,41,38,48,181,161,342
COMBAYA,talla para la edad (t/e),talla normal (t n),2008-05-01,12,7,3,6,4,6,19,19,38
CONCEPCION,talla para la edad (t/e),talla normal (t n),2008-05-01,3,0,3,2,4,3,10,5,15
COPACABANA,talla para la edad (t/e),talla normal (t n),2008-05-01,61,62,26,28,35,38,122,128,250
CORIPATA,talla para la edad (t/e),talla normal (t n),2008-05-01,25,29,19,21,22,23,66,73,139
CORO CORO,talla para la edad (t/e),talla normal (t n),2008-05-01,42,34,18,28,32,24,92,86,178
COROICO,talla para la edad (t/e),talla normal (t n),2008-05-01,74,64,49,34,43,49,166,147,313
CORQUE,talla para la edad (t/e),talla normal (t n),2008-05-01,13,9,7,9,8,6,28,24,52
COTAGAITA,talla para la edad (t/e),talla normal (t n),2008-05-01,49,57,41,51,72,74,162,182,344
CULPINA,talla para la edad (t/e),talla normal (t n),2008-05-01,82,112,86,82,140,162,308,356,664
CURAHUARA DE CARANGAS,talla para la edad (t/e),talla normal (t n),2008-05-01,23,34,21,20,16,16,60,70,130
CURVA,talla para la edad (t/e),talla normal (t n),2008-05-01,17,9,8,10,14,13,39,32,71
DESAGUADERO,talla para la edad (t/e),talla normal (t n),2008-05-01,24,18,12,13,31,20,67,51,118
EL ALTO,talla para la edad (t/e),talla normal (t n),2008-05-01,3097,2890,1531,1420,2035,1981,6663,6291,12954
EL CHORO,talla para la edad (t/e),talla normal (t n),2008-05-01,6,3,3,1,4,0,13,4,17
EL PUENTE(STC),talla para la edad (t/e),talla normal (t n),2008-05-01,59,49,52,47,80,84,191,180,371
EL PUENTE(TJA),talla para la edad (t/e),talla normal (t n),2008-05-01,18,21,20,20,23,29,61,70,131
EL VILLAR,talla para la edad (t/e),talla normal (t n),2008-05-01,23,16,19,17,50,47,92,80,172
ENTRE RIOS,talla para la edad (t/e),talla normal (t n),2008-05-01,59,50,38,40,38,57,135,147,282
ENTRE RIOS,talla para la edad (t/e),talla normal (t n),2008-05-01,97,95,60,88,135,139,292,322,614
ESCARA,talla para la edad (t/e),talla normal (t n),2008-05-01,1,0,0,0,0,0,1,0,1
ESMERALDA,talla para la edad (t/e),talla normal (t n),2008-05-01,1,1,0,0,0,0,1,1,2
EUCALIPTUS,talla para la edad (t/e),talla normal (t n),2008-05-01,4,6,4,4,8,5,16,15,31
EXALTACION,talla para la edad (t/e),talla normal (t n),2008-05-01,18,21,14,8,25,11,57,40,97
FERNANDEZ ALONSO,talla para la edad (t/e),talla normal (t n),2008-05-01,14,6,17,15,14,15,45,36,81
FILADELFIA,talla para la edad (t/e),talla normal (t n),2008-05-01,21,12,12,3,10,15,43,30,73
GENERAL SAAVEDRA,talla para la edad (t/e),talla normal (t n),2008-05-01,41,38,35,45,41,41,117,124,241
GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla normal (t n),2008-05-01,58,71,20,32,57,48,135,151,286
GUANAY,talla para la edad (t/e),talla normal (t n),2008-05-01,76,77,49,44,56,72,181,193,374
GUAQUI,talla para la edad (t/e),talla normal (t n),2008-05-01,32,43,13,21,53,28,98,92,190
GUAYARAMERIN,talla para la edad (t/e),talla normal (t n),2008-05-01,148,130,79,59,61,79,288,268,556
HUANUNI,talla para la edad (t/e),talla normal (t n),2008-05-01,8,13,4,1,1,2,13,16,29
HUARACAJE,talla para la edad (t/e),talla normal (t n),2008-05-01,27,26,15,14,24,18,66,58,124
HUAYLLAMARCA,talla para la edad (t/e),talla normal (t n),2008-05-01,20,14,8,12,12,10,40,36,76
ICHOCA,talla para la edad (t/e),talla normal (t n),2008-05-01,13,19,13,10,19,8,45,37,82
ICLA,talla para la edad (t/e),talla normal (t n),2008-05-01,65,61,50,60,145,143,260,264,524
INCAHUASI,talla para la edad (t/e),talla normal (t n),2008-05-01,136,152,108,112,185,212,429,476,905
INQUISIVI,talla para la edad (t/e),talla normal (t n),2008-05-01,40,35,27,23,51,52,118,110,228
IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla normal (t n),2008-05-01,17,17,10,15,36,45,63,77,140
IXIAMAS,talla para la edad (t/e),talla normal (t n),2008-05-01,56,50,29,22,30,34,115,106,221
JESUS DE MACHACA,talla para la edad (t/e),talla normal (t n),2008-05-01,53,70,38,49,102,86,193,205,398
LA ASUNTA,talla para la edad (t/e),talla normal (t n),2008-05-01,7,4,2,2,1,4,10,10,20
LA PAZ,talla para la edad (t/e),talla normal (t n),2008-05-01,2232,1946,1089,1077,1677,1623,4998,4646,9644
LAJA,talla para la edad (t/e),talla normal (t n),2008-05-01,52,69,32,31,32,28,116,128,244
LAS CARRERAS,talla para la edad (t/e),talla normal (t n),2008-05-01,25,27,22,24,65,54,112,105,217
LICOMA PAMPA,talla para la edad (t/e),talla normal (t n),2008-05-01,13,11,5,12,16,23,34,46,80
LLALLAGUA,talla para la edad (t/e),talla normal (t n),2008-05-01,14,23,10,8,17,12,41,43,84
LLICA,talla para la edad (t/e),talla normal (t n),2008-05-01,25,19,15,12,22,23,62,54,116
LORETO,talla para la edad (t/e),talla normal (t n),2008-05-01,3,3,1,1,1,2,5,6,11
LURIBAY,talla para la edad (t/e),talla normal (t n),2008-05-01,57,39,32,41,57,58,146,138,284
MACHACAMARCA,talla para la edad (t/e),talla normal (t n),2008-05-01,6,14,5,3,14,3,25,20,45
MAGDALENA,talla para la edad (t/e),talla normal (t n),2008-05-01,57,49,32,20,28,29,117,98,215
MAIRANA,talla para la edad (t/e),talla normal (t n),2008-05-01,7,4,9,6,9,4,25,14,39
MALLA,talla para la edad (t/e),talla normal (t n),2008-05-01,20,14,6,4,21,10,47,28,75
MECAPACA,talla para la edad (t/e),talla normal (t n),2008-05-01,22,21,16,9,25,22,63,52,115
MINEROS,talla para la edad (t/e),talla normal (t n),2008-05-01,103,93,66,57,91,74,260,224,484
MIZQUE,talla para la edad (t/e),talla normal (t n),2008-05-01,96,95,68,52,95,110,259,257,516
MOCOMOCO,talla para la edad (t/e),talla normal (t n),2008-05-01,42,46,23,20,42,33,107,99,206
MOJINETE,talla para la edad (t/e),talla normal (t n),2008-05-01,2,3,2,1,3,4,7,8,15
MOJOCOYA,talla para la edad (t/e),talla normal (t n),2008-05-01,6,8,6,7,16,10,28,25,53
MONTERO,talla para la edad (t/e),talla normal (t n),2008-05-01,144,124,90,96,147,130,381,350,731
MORO MORO,talla para la edad (t/e),talla normal (t n),2008-05-01,19,11,9,17,25,21,53,49,102
MOROCHATA,talla para la edad (t/e),talla normal (t n),2008-05-01,84,86,42,40,83,60,209,186,395
NACEBE (SANTA ROSA DEL ABUNA),talla para la edad (t/e),talla normal (t n),2008-05-01,6,2,5,3,9,8,20,13,33
NAZACARA DE PACAJES,talla para la edad (t/e),talla normal (t n),2008-05-01,2,2,1,3,0,0,3,5,8
OCURI,talla para la edad (t/e),talla normal (t n),2008-05-01,78,79,43,50,36,32,157,161,318
OMEREQUE,talla para la edad (t/e),talla normal (t n),2008-05-01,17,24,7,12,18,8,42,44,86
ORURO,talla para la edad (t/e),talla normal (t n),2008-05-01,555,467,357,374,301,278,1213,1119,2332
PADCAYA,talla para la edad (t/e),talla normal (t n),2008-05-01,26,33,28,27,43,43,97,103,200
PADILLA,talla para la edad (t/e),talla normal (t n),2008-05-01,55,61,40,64,114,119,209,244,453
PALCA,talla para la edad (t/e),talla normal (t n),2008-05-01,30,17,5,12,9,4,44,33,77
PAMPA AULLAGAS,talla para la edad (t/e),talla normal (t n),2008-05-01,9,9,5,5,12,15,26,29,55
PAMPA GRANDE,talla para la edad (t/e),talla normal (t n),2008-05-01,4,5,3,3,3,8,10,16,26
PAPEL PAMPA,talla para la edad (t/e),talla normal (t n),2008-05-01,6,7,4,5,5,1,15,13,28
PASORAPA,talla para la edad (t/e),talla normal (t n),2008-05-01,7,7,8,9,10,9,25,25,50
PATACAMAYA,talla para la edad (t/e),talla normal (t n),2008-05-01,72,49,58,44,53,55,183,148,331
PAZÑA,talla para la edad (t/e),talla normal (t n),2008-05-01,31,31,40,25,19,11,90,67,157
PELECHUCO,talla para la edad (t/e),talla normal (t n),2008-05-01,29,26,14,15,29,26,72,67,139
POCOATA,talla para la edad (t/e),talla normal (t n),2008-05-01,80,90,26,37,43,38,149,165,314
POCONA,talla para la edad (t/e),talla normal (t n),2008-05-01,59,43,39,31,52,44,150,118,268
POJO (CBBA),talla para la edad (t/e),talla normal (t n),2008-05-01,61,42,45,48,53,42,159,132,291
POOPO,talla para la edad (t/e),talla normal (t n),2008-05-01,8,11,4,3,3,4,15,18,33
PORCO,talla para la edad (t/e),talla normal (t n),2008-05-01,41,45,10,22,18,19,69,86,155
POROMA,talla para la edad (t/e),talla normal (t n),2008-05-01,59,59,28,39,90,61,177,159,336
PORTACHUELO,talla para la edad (t/e),talla normal (t n),2008-05-01,73,72,37,37,46,56,156,165,321
POTOSI,talla para la edad (t/e),talla normal (t n),2008-05-01,671,737,300,319,374,369,1345,1425,2770
PRESTO,talla para la edad (t/e),talla normal (t n),2008-05-01,2,2,1,2,0,0,3,4,7
PUCARA,talla para la edad (t/e),talla normal (t n),2008-05-01,10,9,8,4,7,6,25,19,44
PUCARANI,talla para la edad (t/e),talla normal (t n),2008-05-01,27,17,0,0,2,3,29,20,49
PUERTO ACOSTA,talla para la edad (t/e),talla normal (t n),2008-05-01,8,5,8,11,10,7,26,23,49
PUERTO CARABUCO,talla para la edad (t/e),talla normal (t n),2008-05-01,71,46,36,33,63,52,170,131,301
PUERTO GONZALO MORENO,talla para la edad (t/e),talla normal (t n),2008-05-01,22,14,13,23,27,22,62,59,121
PUERTO PEREZ,talla para la edad (t/e),talla normal (t n),2008-05-01,4,3,1,3,5,5,10,11,21
PUERTO RICO,talla para la edad (t/e),talla normal (t n),2008-05-01,29,23,15,17,26,24,70,64,134
PUERTO SILES,talla para la edad (t/e),talla normal (t n),2008-05-01,12,5,5,8,5,6,22,19,41
PUERTO VILLARROEL,talla para la edad (t/e),talla normal (t n),2008-05-01,285,296,180,144,201,210,666,650,1316
PUNA,talla para la edad (t/e),talla normal (t n),2008-05-01,132,83,61,63,99,94,292,240,532
PUNATA,talla para la edad (t/e),talla normal (t n),2008-05-01,47,54,16,24,13,12,76,90,166
QUIABAYA,talla para la edad (t/e),talla normal (t n),2008-05-01,4,0,5,4,5,0,14,4,18
QUILLACOLLO,talla para la edad (t/e),talla normal (t n),2008-05-01,386,283,119,158,247,187,752,628,1380
QUIME,talla para la edad (t/e),talla normal (t n),2008-05-01,67,60,26,39,36,30,129,129,258
RAVELO,talla para la edad (t/e),talla normal (t n),2008-05-01,17,23,15,18,37,34,69,75,144
REYES,talla para la edad (t/e),talla normal (t n),2008-05-01,46,60,37,30,44,63,127,153,280
RIBERALTA,talla para la edad (t/e),talla normal (t n),2008-05-01,416,311,289,223,207,143,912,677,1589
ROBORE,talla para la edad (t/e),talla normal (t n),2008-05-01,0,0,7,7,6,8,13,15,28
RURRENABAQUE,talla para la edad (t/e),talla normal (t n),2008-05-01,15,14,0,0,1,0,16,14,30
SABAYA,talla para la edad (t/e),talla normal (t n),2008-05-01,4,5,1,2,1,5,6,12,18
SACABA,talla para la edad (t/e),talla normal (t n),2008-05-01,416,359,143,124,177,147,736,630,1366
SACABAMBA,talla para la edad (t/e),talla normal (t n),2008-05-01,24,16,17,27,38,51,79,94,173
SACACA,talla para la edad (t/e),talla normal (t n),2008-05-01,36,47,30,20,40,48,106,115,221
SAIPINA,talla para la edad (t/e),talla normal (t n),2008-05-01,27,26,14,24,26,27,67,77,144
SALINAS DE GARCI MENDOZA,talla para la edad (t/e),talla normal (t n),2008-05-01,54,34,51,51,28,44,133,129,262
SAMAIPATA,talla para la edad (t/e),talla normal (t n),2008-05-01,43,38,19,18,28,21,90,77,167
SAN AGUSTIN,talla para la edad (t/e),talla normal (t n),2008-05-01,10,9,4,3,6,7,20,19,39
SAN ANDRES,talla para la edad (t/e),talla normal (t n),2008-05-01,17,27,18,13,33,23,68,63,131
SAN ANDRES DE MACHACA,talla para la edad (t/e),talla normal (t n),2008-05-01,18,11,4,5,7,14,29,30,59
SAN ANTONIO DE ESMORUCO,talla para la edad (t/e),talla normal (t n),2008-05-01,1,3,3,0,2,0,6,3,9
SAN BENITO,talla para la edad (t/e),talla normal (t n),2008-05-01,2,0,0,4,3,3,5,7,12
SAN BORJA,talla para la edad (t/e),talla normal (t n),2008-05-01,279,288,151,145,240,213,670,646,1316
SAN CARLOS,talla para la edad (t/e),talla normal (t n),2008-05-01,118,135,70,57,83,70,271,262,533
SAN IGNACIO,talla para la edad (t/e),talla normal (t n),2008-05-01,52,55,45,43,61,43,158,141,299
SAN IGNACIO DE VELASCO,talla para la edad (t/e),talla normal (t n),2008-05-01,35,17,26,25,35,38,96,80,176
SAN JAVIER(BNI),talla para la edad (t/e),talla normal (t n),2008-05-01,4,7,7,12,6,6,17,25,42
SAN JOAQUIN,talla para la edad (t/e),talla normal (t n),2008-05-01,26,24,31,23,39,32,96,79,175
SAN JOSE DE CHIQUITOS,talla para la edad (t/e),talla normal (t n),2008-05-01,52,37,15,25,45,34,112,96,208
SAN JULIAN,talla para la edad (t/e),talla normal (t n),2008-05-01,4,2,3,1,3,3,10,6,16
SAN LORENZO(TJA),talla para la edad (t/e),talla normal (t n),2008-05-01,49,62,35,36,50,47,134,145,279
