,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
HUARACAJE,talla para la edad (t/e),talla normal (t n),2009-04-01,35,22,16,22,19,22,70,66,136
HUAYLLAMARCA,talla para la edad (t/e),talla normal (t n),2009-04-01,23,40,25,19,35,39,83,98,181
ICHOCA,talla para la edad (t/e),talla normal (t n),2009-04-01,22,18,16,16,15,21,53,55,108
ICLA,talla para la edad (t/e),talla normal (t n),2009-04-01,64,51,52,57,168,178,284,286,570
INCAHUASI,talla para la edad (t/e),talla normal (t n),2009-04-01,126,141,68,84,150,146,344,371,715
INGAVI (HUMAITA),talla para la edad (t/e),talla normal (t n),2009-04-01,4,9,1,2,4,4,9,15,24
INQUISIVI,talla para la edad (t/e),talla normal (t n),2009-04-01,72,77,50,47,63,61,185,185,370
IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla normal (t n),2009-04-01,135,89,66,69,106,141,307,299,606
IXIAMAS,talla para la edad (t/e),talla normal (t n),2009-04-01,44,45,28,19,32,32,104,96,200
JESUS DE MACHACA,talla para la edad (t/e),talla normal (t n),2009-04-01,63,65,38,47,101,90,202,202,404
LA ASUNTA,talla para la edad (t/e),talla normal (t n),2009-04-01,128,125,63,55,42,31,233,211,444
LA GUARDIA,talla para la edad (t/e),talla normal (t n),2009-04-01,453,400,222,182,298,323,973,905,1878
LA PAZ,talla para la edad (t/e),talla normal (t n),2009-04-01,3680,3477,2041,1846,2962,2720,8683,8043,16726
LA RIVERA,talla para la edad (t/e),talla normal (t n),2009-04-01,0,2,3,0,1,0,4,2,6
LAGUNILLAS,talla para la edad (t/e),talla normal (t n),2009-04-01,72,53,62,42,119,116,253,211,464
LAJA,talla para la edad (t/e),talla normal (t n),2009-04-01,84,89,50,55,84,75,218,219,437
LAS CARRERAS,talla para la edad (t/e),talla normal (t n),2009-04-01,34,18,17,21,64,50,115,89,204
LICOMA PAMPA,talla para la edad (t/e),talla normal (t n),2009-04-01,24,17,12,22,21,33,57,72,129
LLALLAGUA,talla para la edad (t/e),talla normal (t n),2009-04-01,222,248,154,243,216,207,592,698,1290
LLICA,talla para la edad (t/e),talla normal (t n),2009-04-01,10,6,12,8,23,17,45,31,76
LORETO,talla para la edad (t/e),talla normal (t n),2009-04-01,21,19,12,15,27,33,60,67,127
LURIBAY,talla para la edad (t/e),talla normal (t n),2009-04-01,48,51,36,42,40,42,124,135,259
MACHACAMARCA,talla para la edad (t/e),talla normal (t n),2009-04-01,22,35,28,30,23,29,73,94,167
MACHARETI,talla para la edad (t/e),talla normal (t n),2009-04-01,86,58,61,51,172,175,319,284,603
MAGDALENA,talla para la edad (t/e),talla normal (t n),2009-04-01,88,68,42,39,70,50,200,157,357
MAIRANA,talla para la edad (t/e),talla normal (t n),2009-04-01,69,77,42,38,43,65,154,180,334
MALLA,talla para la edad (t/e),talla normal (t n),2009-04-01,6,14,11,10,12,15,29,39,68
MAPIRI,talla para la edad (t/e),talla normal (t n),2009-04-01,95,102,51,65,51,57,197,224,421
MECAPACA,talla para la edad (t/e),talla normal (t n),2009-04-01,63,52,27,23,57,52,147,127,274
MINEROS,talla para la edad (t/e),talla normal (t n),2009-04-01,180,168,120,112,171,147,471,427,898
MIZQUE,talla para la edad (t/e),talla normal (t n),2009-04-01,130,131,106,101,149,136,385,368,753
MOCOMOCO,talla para la edad (t/e),talla normal (t n),2009-04-01,53,32,25,29,47,58,125,119,244
MOJINETE,talla para la edad (t/e),talla normal (t n),2009-04-01,6,5,1,0,1,4,8,9,17
MOJOCOYA,talla para la edad (t/e),talla normal (t n),2009-04-01,45,46,19,35,83,74,147,155,302
MONTEAGUDO,talla para la edad (t/e),talla normal (t n),2009-04-01,212,197,189,205,315,323,716,725,1441
MONTERO,talla para la edad (t/e),talla normal (t n),2009-04-01,554,574,334,340,448,437,1336,1351,2687
MORO MORO,talla para la edad (t/e),talla normal (t n),2009-04-01,13,17,26,16,24,24,63,57,120
MOROCHATA,talla para la edad (t/e),talla normal (t n),2009-04-01,164,210,129,126,136,146,429,482,911
NACEBE (SANTA ROSA DEL ABUNA),talla para la edad (t/e),talla normal (t n),2009-04-01,17,22,19,15,44,37,80,74,154
NAZACARA DE PACAJES,talla para la edad (t/e),talla normal (t n),2009-04-01,0,1,0,0,0,1,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),talla para la edad (t/e),talla normal (t n),2009-04-01,18,18,7,16,25,36,50,70,120
OCURI,talla para la edad (t/e),talla normal (t n),2009-04-01,141,119,125,95,80,102,346,316,662
OKINAWA,talla para la edad (t/e),talla normal (t n),2009-04-01,6,12,7,3,17,10,30,25,55
OMEREQUE,talla para la edad (t/e),talla normal (t n),2009-04-01,23,10,21,19,11,23,55,52,107
ORURO,talla para la edad (t/e),talla normal (t n),2009-04-01,1009,991,621,547,574,534,2204,2072,4276
PADCAYA,talla para la edad (t/e),talla normal (t n),2009-04-01,144,137,207,169,129,124,480,430,910
PADILLA,talla para la edad (t/e),talla normal (t n),2009-04-01,82,59,56,66,165,187,303,312,615
PAILON,talla para la edad (t/e),talla normal (t n),2009-04-01,159,183,115,104,158,121,432,408,840
PALCA,talla para la edad (t/e),talla normal (t n),2009-04-01,38,45,23,30,43,38,104,113,217
PALOS BLANCOS,talla para la edad (t/e),talla normal (t n),2009-04-01,212,166,130,122,166,153,508,441,949
PAMPA AULLAGAS,talla para la edad (t/e),talla normal (t n),2009-04-01,22,18,10,7,19,14,51,39,90
PAMPA GRANDE,talla para la edad (t/e),talla normal (t n),2009-04-01,36,53,9,21,27,24,72,98,170
PAPEL PAMPA,talla para la edad (t/e),talla normal (t n),2009-04-01,21,22,10,8,7,4,38,34,72
PASORAPA,talla para la edad (t/e),talla normal (t n),2009-04-01,25,20,16,10,33,37,74,67,141
PATACAMAYA,talla para la edad (t/e),talla normal (t n),2009-04-01,80,93,49,62,72,35,201,190,391
PAZÑA,talla para la edad (t/e),talla normal (t n),2009-04-01,50,36,30,38,51,67,131,141,272
PELECHUCO,talla para la edad (t/e),talla normal (t n),2009-04-01,40,40,26,24,50,40,116,104,220
POCOATA,talla para la edad (t/e),talla normal (t n),2009-04-01,122,134,87,126,70,70,279,330,609
POCONA,talla para la edad (t/e),talla normal (t n),2009-04-01,74,53,57,39,59,73,190,165,355
POJO (CBBA),talla para la edad (t/e),talla normal (t n),2009-04-01,96,83,102,91,163,128,361,302,663
POOPO,talla para la edad (t/e),talla normal (t n),2009-04-01,37,31,29,31,31,30,97,92,189
PORCO,talla para la edad (t/e),talla normal (t n),2009-04-01,86,71,62,60,38,46,186,177,363
POROMA,talla para la edad (t/e),talla normal (t n),2009-04-01,55,58,53,46,116,90,224,194,418
PORONGO,talla para la edad (t/e),talla normal (t n),2009-04-01,47,46,22,25,53,49,122,120,242
PORTACHUELO,talla para la edad (t/e),talla normal (t n),2009-04-01,103,109,77,81,110,117,290,307,597
PORVENIR,talla para la edad (t/e),talla normal (t n),2009-04-01,44,29,40,39,57,65,141,133,274
POSTRER VALLE,talla para la edad (t/e),talla normal (t n),2009-04-01,22,17,18,18,27,22,67,57,124
POTOSI,talla para la edad (t/e),talla normal (t n),2009-04-01,1035,998,421,482,612,667,2068,2147,4215
PRESTO,talla para la edad (t/e),talla normal (t n),2009-04-01,83,63,51,58,87,81,221,202,423
PUCARA,talla para la edad (t/e),talla normal (t n),2009-04-01,11,13,10,12,19,8,40,33,73
PUCARANI,talla para la edad (t/e),talla normal (t n),2009-04-01,125,137,65,68,68,78,258,283,541
PUERTO ACOSTA,talla para la edad (t/e),talla normal (t n),2009-04-01,84,71,45,37,75,68,204,176,380
PUERTO CARABUCO,talla para la edad (t/e),talla normal (t n),2009-04-01,53,62,49,44,66,69,168,175,343
PUERTO GONZALO MORENO,talla para la edad (t/e),talla normal (t n),2009-04-01,44,32,21,25,42,42,107,99,206
PUERTO PEREZ,talla para la edad (t/e),talla normal (t n),2009-04-01,22,24,14,19,29,32,65,75,140
PUERTO QUIJARRO,talla para la edad (t/e),talla normal (t n),2009-04-01,129,112,31,47,37,41,197,200,397
PUERTO RICO,talla para la edad (t/e),talla normal (t n),2009-04-01,59,61,64,67,64,67,187,195,382
PUERTO SILES,talla para la edad (t/e),talla normal (t n),2009-04-01,10,14,8,5,21,19,39,38,77
PUERTO SUAREZ,talla para la edad (t/e),talla normal (t n),2009-04-01,113,128,41,49,21,28,175,205,380
PUERTO VILLARROEL,talla para la edad (t/e),talla normal (t n),2009-04-01,357,322,191,213,308,254,856,789,1645
PUNA,talla para la edad (t/e),talla normal (t n),2009-04-01,153,172,127,105,126,164,406,441,847
PUNATA,talla para la edad (t/e),talla normal (t n),2009-04-01,270,295,199,159,193,250,662,704,1366
QUILLACOLLO,talla para la edad (t/e),talla normal (t n),2009-04-01,504,424,255,230,319,295,1078,949,2027
QUIME,talla para la edad (t/e),talla normal (t n),2009-04-01,60,57,31,31,38,44,129,132,261
QUIRUSILLAS,talla para la edad (t/e),talla normal (t n),2009-04-01,13,5,7,8,23,27,43,40,83
RAVELO,talla para la edad (t/e),talla normal (t n),2009-04-01,127,137,97,96,154,130,378,363,741
REYES,talla para la edad (t/e),talla normal (t n),2009-04-01,64,70,43,48,81,63,188,181,369
RIBERALTA,talla para la edad (t/e),talla normal (t n),2009-04-01,732,704,480,493,509,437,1721,1634,3355
ROBORE,talla para la edad (t/e),talla normal (t n),2009-04-01,142,112,105,82,116,110,363,304,667
RURRENABAQUE,talla para la edad (t/e),talla normal (t n),2009-04-01,5,3,4,2,4,3,13,8,21
SABAYA,talla para la edad (t/e),talla normal (t n),2009-04-01,18,20,12,12,12,11,42,43,85
SACABA,talla para la edad (t/e),talla normal (t n),2009-04-01,525,464,274,311,273,262,1072,1037,2109
SACABAMBA,talla para la edad (t/e),talla normal (t n),2009-04-01,22,19,31,29,33,29,86,77,163
SACACA,talla para la edad (t/e),talla normal (t n),2009-04-01,95,108,37,51,64,52,196,211,407
SAIPINA,talla para la edad (t/e),talla normal (t n),2009-04-01,45,49,29,32,50,68,124,149,273
SALINAS DE GARCI MENDOZA,talla para la edad (t/e),talla normal (t n),2009-04-01,66,69,59,57,78,89,203,215,418
SAMAIPATA,talla para la edad (t/e),talla normal (t n),2009-04-01,66,56,37,27,60,51,163,134,297
SAN AGUSTIN,talla para la edad (t/e),talla normal (t n),2009-04-01,8,12,3,19,10,16,21,47,68
SAN ANDRES,talla para la edad (t/e),talla normal (t n),2009-04-01,59,81,54,59,107,101,220,241,461
SAN ANDRES DE MACHACA,talla para la edad (t/e),talla normal (t n),2009-04-01,7,7,19,10,13,10,39,27,66
SAN ANTONIO DE ESMORUCO,talla para la edad (t/e),talla normal (t n),2009-04-01,18,23,12,8,15,17,45,48,93
SAN ANTONIO DE LOMERIO,talla para la edad (t/e),talla normal (t n),2009-04-01,50,39,43,49,97,109,190,197,387
SAN BENITO,talla para la edad (t/e),talla normal (t n),2009-04-01,118,109,63,73,114,80,295,262,557
SAN BORJA,talla para la edad (t/e),talla normal (t n),2009-04-01,332,335,209,193,307,300,848,828,1676
SAN BUENA VENTURA,talla para la edad (t/e),talla normal (t n),2009-04-01,101,65,37,55,50,62,188,182,370
SAN CARLOS,talla para la edad (t/e),talla normal (t n),2009-04-01,172,118,74,62,53,53,299,233,532
SAN IGNACIO,talla para la edad (t/e),talla normal (t n),2009-04-01,100,83,55,47,92,85,247,215,462
SAN IGNACIO DE VELASCO,talla para la edad (t/e),talla normal (t n),2009-04-01,94,92,91,100,129,173,314,365,679
SAN JAVIER(BNI),talla para la edad (t/e),talla normal (t n),2009-04-01,8,16,12,8,19,38,39,62,101
SAN JAVIER(STC),talla para la edad (t/e),talla normal (t n),2009-04-01,86,66,44,28,42,48,172,142,314
SAN JOAQUIN,talla para la edad (t/e),talla normal (t n),2009-04-01,17,21,23,21,29,22,69,64,133
SAN JOSE DE CHIQUITOS,talla para la edad (t/e),talla normal (t n),2009-04-01,108,106,55,46,111,128,274,280,554
SAN JUAN DE YAPACANI,talla para la edad (t/e),talla normal (t n),2009-04-01,31,25,13,23,24,22,68,70,138
SAN JULIAN,talla para la edad (t/e),talla normal (t n),2009-04-01,68,61,53,48,73,84,194,193,387
SAN LORENZO(PND),talla para la edad (t/e),talla normal (t n),2009-04-01,17,13,7,11,14,13,38,37,75
SAN LORENZO(TJA),talla para la edad (t/e),talla normal (t n),2009-04-01,133,112,116,112,102,108,351,332,683
SAN LUCAS,talla para la edad (t/e),talla normal (t n),2009-04-01,251,242,198,187,417,377,866,806,1672
SAN MATIAS,talla para la edad (t/e),talla normal (t n),2009-04-01,89,64,32,45,46,51,167,160,327
SAN MIGUEL DE VELASCO,talla para la edad (t/e),talla normal (t n),2009-04-01,52,18,5,12,11,10,68,40,108
SAN PABLO DE LIPEZ,talla para la edad (t/e),talla normal (t n),2009-04-01,21,15,5,8,27,17,53,40,93
SAN PEDRO,talla para la edad (t/e),talla normal (t n),2009-04-01,86,79,64,56,84,112,234,247,481
SAN PEDRO DE BUENA VISTA,talla para la edad (t/e),talla normal (t n),2009-04-01,81,102,66,72,102,74,249,248,497
SAN PEDRO DE CURAHUARA,talla para la edad (t/e),talla normal (t n),2009-04-01,27,37,26,13,20,30,73,80,153
SAN PEDRO DE QUEMES,talla para la edad (t/e),talla normal (t n),2009-04-01,2,5,1,3,0,1,3,9,12
SAN PEDRO DE TIQUINA,talla para la edad (t/e),talla normal (t n),2009-04-01,27,24,15,18,20,31,62,73,135
SAN PEDRO(PND),talla para la edad (t/e),talla normal (t n),2009-04-01,3,1,0,1,2,0,5,2,7
SAN RAFAEL,talla para la edad (t/e),talla normal (t n),2009-04-01,11,4,9,6,14,13,34,23,57
SAN RAMON,talla para la edad (t/e),talla normal (t n),2009-04-01,26,32,31,40,71,47,128,119,247
SANTA ANA,talla para la edad (t/e),talla normal (t n),2009-04-01,201,126,102,96,77,90,380,312,692
SANTA CRUZ DE LA SIERRA,talla para la edad (t/e),talla normal (t n),2009-04-01,4996,4446,2711,2378,2586,2446,10293,9270,19563
SANTA ROSA,talla para la edad (t/e),talla normal (t n),2009-04-01,44,49,36,28,46,48,126,125,251
SANTA ROSA DEL SARA,talla para la edad (t/e),talla normal (t n),2009-04-01,48,29,22,26,45,48,115,103,218
SANTIAGO DE CALLAPA,talla para la edad (t/e),talla normal (t n),2009-04-01,23,41,26,26,14,24,63,91,154
SANTIAGO DE HUARI,talla para la edad (t/e),talla normal (t n),2009-04-01,40,45,57,51,88,80,185,176,361
SANTIAGO DE MACHACA,talla para la edad (t/e),talla normal (t n),2009-04-01,18,26,13,15,12,11,43,52,95
SANTIVAÑES,talla para la edad (t/e),talla normal (t n),2009-04-01,2,0,5,6,62,75,69,81,150
SANTUARIO DE QUILLACAS,talla para la edad (t/e),talla normal (t n),2009-04-01,14,18,14,14,22,39,50,71,121
SAPAHAQUI,talla para la edad (t/e),talla normal (t n),2009-04-01,40,41,31,42,54,65,125,148,273
SENA,talla para la edad (t/e),talla normal (t n),2009-04-01,32,25,19,16,12,13,63,54,117
SICA SICA (VILLA AROMA),talla para la edad (t/e),talla normal (t n),2009-04-01,128,133,110,78,104,82,342,293,635
SICAYA,talla para la edad (t/e),talla normal (t n),2009-04-01,13,16,14,14,12,10,39,40,79
SIPE SIPE,talla para la edad (t/e),talla normal (t n),2009-04-01,267,203,187,134,152,140,606,477,1083
SOPACHUY,talla para la edad (t/e),talla normal (t n),2009-04-01,59,65,44,44,66,71,169,180,349
SORACACHI,talla para la edad (t/e),talla normal (t n),2009-04-01,63,75,58,65,109,104,230,244,474
SORATA,talla para la edad (t/e),talla normal (t n),2009-04-01,84,92,33,47,75,63,192,202,394
SUCRE,talla para la edad (t/e),talla normal (t n),2009-04-01,599,637,359,341,674,692,1632,1670,3302
TACACOMA,talla para la edad (t/e),talla normal (t n),2009-04-01,37,32,14,15,26,27,77,74,151
TACOBAMBA,talla para la edad (t/e),talla normal (t n),2009-04-01,36,25,21,19,15,25,72,69,141
TACOPAYA,talla para la edad (t/e),talla normal (t n),2009-04-01,60,53,61,65,50,52,171,170,341
TAHUA,talla para la edad (t/e),talla normal (t n),2009-04-01,3,6,4,3,5,10,12,19,31
TAPACARI,talla para la edad (t/e),talla normal (t n),2009-04-01,124,120,86,76,90,85,300,281,581
TARABUCO,talla para la edad (t/e),talla normal (t n),2009-04-01,137,120,81,102,225,215,443,437,880
TARACO,talla para la edad (t/e),talla normal (t n),2009-04-01,13,17,17,11,10,17,40,45,85
TARATA,talla para la edad (t/e),talla normal (t n),2009-04-01,97,77,47,50,33,46,177,173,350
TARIJA,talla para la edad (t/e),talla normal (t n),2009-04-01,349,309,313,266,245,219,907,794,1701
TARVITA,talla para la edad (t/e),talla normal (t n),2009-04-01,88,99,68,58,142,120,298,277,575
TEOPONTE,talla para la edad (t/e),talla normal (t n),2009-04-01,47,39,37,35,49,42,133,116,249
TIAWANACU,talla para la edad (t/e),talla normal (t n),2009-04-01,69,63,47,32,34,42,150,137,287
TINGUIPAYA,talla para la edad (t/e),talla normal (t n),2009-04-01,98,75,36,37,62,61,196,173,369
TIPUANI,talla para la edad (t/e),talla normal (t n),2009-04-01,57,54,43,46,56,41,156,141,297
TIQUIPAYA,talla para la edad (t/e),talla normal (t n),2009-04-01,237,225,139,143,149,129,525,497,1022
TIRAQUE (CBBA),talla para la edad (t/e),talla normal (t n),2009-04-01,256,241,161,166,214,171,631,578,1209
TITO YUPANQUI (PARQUIPUJIO),talla para la edad (t/e),talla normal (t n),2009-04-01,3,2,6,4,13,9,22,15,37
TOCO,talla para la edad (t/e),talla normal (t n),2009-04-01,38,28,29,42,64,64,131,134,265
TODOS SANTOS,talla para la edad (t/e),talla normal (t n),2009-04-01,1,3,5,4,3,4,9,11,20
TOLATA,talla para la edad (t/e),talla normal (t n),2009-04-01,20,23,18,19,13,20,51,62,113
TOLEDO,talla para la edad (t/e),talla normal (t n),2009-04-01,33,35,29,31,31,33,93,99,192
TOMAVE,talla para la edad (t/e),talla normal (t n),2009-04-01,59,46,28,47,36,32,123,125,248
TOMINA,talla para la edad (t/e),talla normal (t n),2009-04-01,63,66,49,74,172,163,284,303,587
TORO TORO,talla para la edad (t/e),talla normal (t n),2009-04-01,60,90,60,60,72,72,192,222,414
TOTORA(CBBA),talla para la edad (t/e),talla normal (t n),2009-04-01,94,92,76,80,64,54,234,226,460
TOTORA(ORR),talla para la edad (t/e),talla normal (t n),2009-04-01,21,22,31,12,32,34,84,68,152
TRIGAL,talla para la edad (t/e),talla normal (t n),2009-04-01,15,13,8,12,15,7,38,32,70
TRINIDAD,talla para la edad (t/e),talla normal (t n),2009-04-01,493,485,221,233,326,290,1040,1008,2048
TUPIZA,talla para la edad (t/e),talla normal (t n),2009-04-01,248,267,193,172,280,273,721,712,1433
TURCO,talla para la edad (t/e),talla normal (t n),2009-04-01,27,32,25,25,42,28,94,85,179
UMALA,talla para la edad (t/e),talla normal (t n),2009-04-01,63,76,59,47,40,46,162,169,331
UNCIA,talla para la edad (t/e),talla normal (t n),2009-04-01,121,127,74,78,99,132,294,337,631
URIONDO (A. CONCEPCION),talla para la edad (t/e),talla normal (t n),2009-04-01,81,65,66,93,92,90,239,248,487
URUBICHA,talla para la edad (t/e),talla normal (t n),2009-04-01,62,61,65,59,162,200,289,320,609
UYUNI,talla para la edad (t/e),talla normal (t n),2009-04-01,162,159,104,104,158,130,424,393,817
VACAS,talla para la edad (t/e),talla normal (t n),2009-04-01,30,31,44,49,20,24,94,104,198
VALLEGRANDE,talla para la edad (t/e),talla normal (t n),2009-04-01,100,91,62,52,101,106,263,249,512
VIACHA,talla para la edad (t/e),talla normal (t n),2009-04-01,196,192,72,93,136,97,404,382,786
VILA VILA,talla para la edad (t/e),talla normal (t n),2009-04-01,17,26,17,14,14,16,48,56,104
VILLA MONTES,talla para la edad (t/e),talla normal (t n),2009-04-01,267,235,201,174,165,152,633,561,1194
VILLA NUEVA (LOMA ALTA),talla para la edad (t/e),talla normal (t n),2009-04-01,20,29,27,22,31,33,78,84,162
VILLA RIVERO,talla para la edad (t/e),talla normal (t n),2009-04-01,59,48,20,22,26,25,105,95,200
VILLA SERRANO,talla para la edad (t/e),talla normal (t n),2009-04-01,94,60,61,59,132,137,287,256,543
VILLA TUNARI,talla para la edad (t/e),talla normal (t n),2009-04-01,609,471,402,356,560,494,1571,1321,2892
VILLA VACA GUZMAN (MUYUPAMPA),talla para la edad (t/e),talla normal (t n),2009-04-01,49,46,54,54,116,116,219,216,435
VILLAZON,talla para la edad (t/e),talla normal (t n),2009-04-01,264,242,144,134,198,173,606,549,1155
VINTO,talla para la edad (t/e),talla normal (t n),2009-04-01,244,221,175,141,146,106,565,468,1033
VITICHI,talla para la edad (t/e),talla normal (t n),2009-04-01,62,69,32,38,74,84,168,191,359
WALDO BALLIVIAN,talla para la edad (t/e),talla normal (t n),2009-04-01,18,8,5,0,7,4,30,12,42
WARNES,talla para la edad (t/e),talla normal (t n),2009-04-01,167,147,105,87,95,101,367,335,702
YACO,talla para la edad (t/e),talla normal (t n),2009-04-01,33,31,14,20,40,34,87,85,172
YACUIBA,talla para la edad (t/e),talla normal (t n),2009-04-01,83,68,56,46,81,66,220,180,400
YAMPARAEZ,talla para la edad (t/e),talla normal (t n),2009-04-01,51,52,42,50,102,117,195,219,414
YANACACHI,talla para la edad (t/e),talla normal (t n),2009-04-01,25,39,11,26,26,34,62,99,161
YAPACANI,talla para la edad (t/e),talla normal (t n),2009-04-01,246,243,203,178,208,218,657,639,1296
YOCALLA,talla para la edad (t/e),talla normal (t n),2009-04-01,35,37,34,31,33,25,102,93,195
YOTALA,talla para la edad (t/e),talla normal (t n),2009-04-01,53,64,45,38,122,108,220,210,430
YUNCHARA,talla para la edad (t/e),talla normal (t n),2009-04-01,49,50,47,33,85,56,181,139,320
ZUDAÑEZ,talla para la edad (t/e),talla normal (t n),2009-04-01,60,63,46,35,92,78,198,176,374
ACACIO,talla para la edad (t/e),talla normal (t n),2009-05-01,38,35,28,21,32,21,98,77,175
ACHACACHI,talla para la edad (t/e),talla normal (t n),2009-05-01,320,320,140,154,156,158,616,632,1248
ACHOCALLA,talla para la edad (t/e),talla normal (t n),2009-05-01,37,26,14,13,12,15,63,54,117
AIQUILE,talla para la edad (t/e),talla normal (t n),2009-05-01,254,274,195,165,193,204,642,643,1285
ALALAY,talla para la edad (t/e),talla normal (t n),2009-05-01,14,15,11,0,6,12,31,27,58
ALCALA,talla para la edad (t/e),talla normal (t n),2009-05-01,24,24,19,18,57,59,100,101,201
ANCORAIMES,talla para la edad (t/e),talla normal (t n),2009-05-01,51,45,23,23,62,47,136,115,251
ANDAMARCA,talla para la edad (t/e),talla normal (t n),2009-05-01,25,25,23,21,51,46,99,92,191
ANTEQUERA,talla para la edad (t/e),talla normal (t n),2009-05-01,16,27,17,14,30,23,63,64,127
ANZALDO,talla para la edad (t/e),talla normal (t n),2009-05-01,64,67,49,51,43,39,156,157,313
APOLO,talla para la edad (t/e),talla normal (t n),2009-05-01,115,146,91,103,113,101,319,350,669
ARAMPAMPA,talla para la edad (t/e),talla normal (t n),2009-05-01,29,23,23,20,50,36,102,79,181
ARANI,talla para la edad (t/e),talla normal (t n),2009-05-01,122,80,76,55,74,47,272,182,454
ARBIETO,talla para la edad (t/e),talla normal (t n),2009-05-01,71,70,66,68,126,117,263,255,518
ARQUE,talla para la edad (t/e),talla normal (t n),2009-05-01,105,93,70,58,74,101,249,252,501
ASCENCION DE GUARAYOS,talla para la edad (t/e),talla normal (t n),2009-05-01,27,20,4,5,5,0,36,25,61
ATOCHA,talla para la edad (t/e),talla normal (t n),2009-05-01,82,88,56,64,63,58,201,210,411
AUCAPATA,talla para la edad (t/e),talla normal (t n),2009-05-01,12,33,24,22,16,15,52,70,122
AYATA,talla para la edad (t/e),talla normal (t n),2009-05-01,43,40,29,24,37,33,109,97,206
AYO AYO,talla para la edad (t/e),talla normal (t n),2009-05-01,55,40,31,21,15,13,101,74,175
AYOPAYA (V. DE INDEPENDENCIA),talla para la edad (t/e),talla normal (t n),2009-05-01,236,215,187,142,138,168,561,525,1086
AZURDUY,talla para la edad (t/e),talla normal (t n),2009-05-01,91,68,55,53,123,154,269,275,544
BATALLAS,talla para la edad (t/e),talla normal (t n),2009-05-01,156,141,48,56,68,48,272,245,517
BAURES,talla para la edad (t/e),talla normal (t n),2009-05-01,33,40,21,20,56,42,110,102,212
BELEN DE ANDAMARCA,talla para la edad (t/e),talla normal (t n),2009-05-01,3,7,3,4,13,8,19,19,38
BELEN DE URMIRI,talla para la edad (t/e),talla normal (t n),2009-05-01,14,12,11,9,18,18,43,39,82
BELLA FLOR,talla para la edad (t/e),talla normal (t n),2009-05-01,4,9,8,12,30,29,42,50,92
BERMEJO,talla para la edad (t/e),talla normal (t n),2009-05-01,31,37,33,23,32,41,96,101,197
BETANZOS,talla para la edad (t/e),talla normal (t n),2009-05-01,200,195,143,140,159,162,502,497,999
BOLIVAR,talla para la edad (t/e),talla normal (t n),2009-05-01,31,25,19,18,33,40,83,83,166
BOLPEBRA,talla para la edad (t/e),talla normal (t n),2009-05-01,14,10,17,7,22,18,53,35,88
BOYUIBE,talla para la edad (t/e),talla normal (t n),2009-05-01,15,20,13,18,14,15,42,53,95
BUENA VISTA,talla para la edad (t/e),talla normal (t n),2009-05-01,19,10,13,18,20,20,52,48,100
CABEZAS,talla para la edad (t/e),talla normal (t n),2009-05-01,89,80,56,73,56,45,201,198,399
CAIROMA,talla para la edad (t/e),talla normal (t n),2009-05-01,57,71,26,33,65,58,148,162,310
"CAIZA ""D""",talla para la edad (t/e),talla normal (t n),2009-05-01,69,71,49,54,35,37,153,162,315
CAJUATA,talla para la edad (t/e),talla normal (t n),2009-05-01,93,93,69,59,70,84,232,236,468
CALACOTO,talla para la edad (t/e),talla normal (t n),2009-05-01,30,23,22,14,27,23,79,60,139
CALAMARCA,talla para la edad (t/e),talla normal (t n),2009-05-01,69,66,38,40,44,46,151,152,303
CAMARGO,talla para la edad (t/e),talla normal (t n),2009-05-01,126,129,97,95,163,175,386,399,785
CAMATAQUI (C. VILLA ABECIA),talla para la edad (t/e),talla normal (t n),2009-05-01,20,20,20,20,32,33,72,73,145
CAMIRI,talla para la edad (t/e),talla normal (t n),2009-05-01,107,118,61,54,109,104,277,276,553
CAPINOTA,talla para la edad (t/e),talla normal (t n),2009-05-01,220,150,91,83,110,87,421,320,741
CAQUIAVIRI,talla para la edad (t/e),talla normal (t n),2009-05-01,57,44,25,35,33,47,115,126,241
CARACOLLO,talla para la edad (t/e),talla normal (t n),2009-05-01,151,152,57,78,40,51,248,281,529
CARANAVI,talla para la edad (t/e),talla normal (t n),2009-05-01,474,460,226,190,277,220,977,870,1847
CARANGAS,talla para la edad (t/e),talla normal (t n),2009-05-01,3,0,1,0,3,2,7,2,9
CARAPARI,talla para la edad (t/e),talla normal (t n),2009-05-01,98,105,111,99,83,67,292,271,563
CARIPUYO,talla para la edad (t/e),talla normal (t n),2009-05-01,51,52,20,27,45,32,116,111,227
CARMEN RIVERO TORREZ,talla para la edad (t/e),talla normal (t n),2009-05-01,34,24,16,16,20,21,70,61,131
CATACORA,talla para la edad (t/e),talla normal (t n),2009-05-01,4,3,2,6,8,10,14,19,33
CHACARILLA,talla para la edad (t/e),talla normal (t n),2009-05-01,0,2,1,1,3,2,4,5,9
CHALLAPATA,talla para la edad (t/e),talla normal (t n),2009-05-01,4242,196,129,111,115,113,4486,420,4906
CHAQUI,talla para la edad (t/e),talla normal (t n),2009-05-01,37,46,31,27,27,15,95,88,183
CHARAGUA,talla para la edad (t/e),talla normal (t n),2009-05-01,63,75,53,69,93,116,209,260,469
