municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
SANTA ANA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SANTA ROSA DEL SARA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTIAGO DE MACHACA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SIPE SIPE,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,1,0,0,0,1,0,0,0,2,2
SORATA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SUCRE,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,14,0,0,0,14,14
TARVITA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,2,0,0,0,0,0,0,0,0,0,2,2
TIPUANI,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,3,3,0,0,3,3,6
TIRAQUE (CBBA),violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TOMINA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TOTORA(CBBA),violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
TUPIZA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,1,0,2,0,0,0,3,3
UYUNI,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
VACAS,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,1,0,1,4,0,0,2,4,6
VALLEGRANDE,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,0,0,1,0,1,1
VIACHA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
VILLA MONTES,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,1,0,3,2,0,0,4,2,6
VILLA SERRANO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
VILLAZON,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,1,0,2,15,0,1,3,16,19
VITICHI,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,1,0,1,0,0,0,2,2
WARNES,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
YUNCHARA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
ZUDAÑEZ,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ACHACACHI,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
AIQUILE,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,2,0,1,1,3,1,4
ANCORAIMES,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,1,0,2,0,0,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BETANZOS,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BOYUIBE,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CABEZAS,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CAMARGO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CAMIRI,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CARANAVI,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
CARAPARI,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CARMEN RIVERO TORREZ,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,0,0,1,0,1,1
COBIJA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COCHABAMBA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,2,5,0,0,2,5,7
COLOMI,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,5,0,1,0,6,6
COLQUENCHA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CONCEPCION,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COPACABANA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,1,0,1,1,2
COROICO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,1,0,0,0,2,0,0,0,3,3
CORQUE,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,1,2,0,0,1,2,3
EL ALTO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,1,0,0,3,1,3,90,0,2,6,94,100
GENERAL SAAVEDRA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
HUANUNI,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
INCAHUASI,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,1,0,2,2
IRUPANA (VILLA DE LANZA),violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,1,0,0,2,0,0,1,2,3
IXIAMAS,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LA ASUNTA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LA GUARDIA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,violencia  intrafamiliar,intrafamiliar,2007-04-01,1,0,0,0,3,2,7,23,1,2,12,27,39
LLALLAGUA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,1,6,10,6,0,12,11,23
MAIRANA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MINEROS,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,1,0,3,0,0,0,4,4
MIZQUE,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,3,0,0,0,3,3
MONTEAGUDO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MONTERO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,1,4,0,0,1,4,5
MORO MORO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,1,1,0,1,1,2,3
MOROCHATA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
OMEREQUE,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
ORURO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,1,3,0,0,1,3,4
PADCAYA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,1,1,0,0,1,1,2
PADILLA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
POCONA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
POTOSI,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,1,0,2,0,0,0,3,3
PUCARANI,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,2,1,1,0,3,1,4
PUERTO ACOSTA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
PUERTO CARABUCO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUERTO SUAREZ,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
PUERTO VILLARROEL,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
RAVELO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,1,1,0,0,1,1,2
SACABA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,1,2,0,1,1,12,1,0,3,15,18
SACACA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SAN BUENA VENTURA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN JULIAN,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LUCAS,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,1,1,1,0,2,1,3
SAN MATIAS,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SANTA ANA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,2,0,5,0,0,0,7,7
SIPE SIPE,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,1,1,1,0,0,1,2,3
SORATA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SUCRE,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,3,0,0,0,3,3
TARABUCO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
TUPIZA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,1,0,5,0,0,0,6,6
UNCIA,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,1,0,0,0,1,0,1
VILLA MONTES,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,1,0,1,2,3
VILLA RIVERO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
VILLA SERRANO,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,4,0,0,0,4,4
VILLA TUNARI,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
VILLAZON,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,10,0,0,0,10,10
WARNES,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
YAMPARAEZ,violencia  intrafamiliar,intrafamiliar,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ACACIO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,1,0,3,0,0,0,4,4
ACHACACHI,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,2,0,0,1,2,3
ANCORAIMES,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,2,0,0,0,2,2
ANZALDO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
APOLO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ARBIETO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,1,0,2,0,0,0,3,3
ARQUE,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
AYATA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,1,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BERMEJO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,2,2,1,9,2,0,0,11,5,16
CAMARGO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,2,0,0,0,2,2
CAMIRI,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,3,0,0,0,3,3
CAPINOTA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,2,0,0,0,2,2
CARANAVI,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,1,0,1,1,2
CARIPUYO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,1,0,0,1,1,2
CHOQUE COTA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,0,1,0,1,0,1
CLIZA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,6,0,1,0,7,7
COCHABAMBA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,14,2,0,2,14,16
COLOMI,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,3,0,0,0,3,3
COLQUENCHA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,1,2,0,3,1,4
CORIPATA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,3,0,0,0,3,3
COROICO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,6,0,0,0,6,6
COTAGAITA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,0,0,1,0,1,1
CUEVO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,1,0,0,1,1,2
CURVA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
EL ALTO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,1,0,0,5,3,1,82,0,2,6,88,94
EL VILLAR,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ENTRE RIOS,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
GUAYARAMERIN,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ICLA,violencia  intrafamiliar,intrafamiliar,2007-05-01,1,0,0,0,0,0,0,2,0,0,1,2,3
IXIAMAS,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LA ASUNTA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,2,0,2,0,0,0,4,4
LA GUARDIA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,1,0,0,0,0,1,0,0,1,1,2
LA PAZ,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,2,7,3,7,41,0,0,14,46,60
LAJA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,1,0,1,0,0,0,2,2
LLALLAGUA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,2,0,4,14,0,0,6,14,20
LURIBAY,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MACHACAMARCA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,2,0,0,0,2,0,2
MAIRANA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MINEROS,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MONTEAGUDO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,2,0,0,0,2,0,2
MONTERO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MOROCHATA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,1,0,0,1,1,2
ORURO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,3,0,0,0,3,3
PADCAYA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PADILLA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,3,0,0,1,3,4
PAILON,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,1,0,1,0,0,0,2,0,2
PALOS BLANCOS,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
POCONA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,1,0,0,1,1,2
POOPO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUCARANI,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
PUERTO ACOSTA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,1,0,0,2,0,0,1,2,3
PUERTO VILLARROEL,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,2,0,0,1,2,3
PUNATA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,1,1,1,1,1,0,3,2,5
QUIRUSILLAS,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
REYES,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
RIBERALTA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,0,1,0,1,0,1
SACABA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,1,1,0,1,5,25,0,0,6,27,33
SAN ANTONIO DE LOMERIO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN IGNACIO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN JUAN DE YAPACANI,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN LORENZO(TJA),violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,0,0,1,0,1,1
SAN LUCAS,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,3,0,0,0,3,3
SAN MATIAS,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,1,0,0,0,1,1,0,1,2,3
SIPE SIPE,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,1,0,1,3,6,0,0,3,8,11
SORACACHI,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SORATA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SUCRE,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,5,0,1,0,6,6
TAPACARI,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TARATA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,1,0,5,0,0,0,6,6
TARIJA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,1,0,1,0,0,0,2,2
TIPUANI,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TORO TORO,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TOTORA(CBBA),violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,1,6,0,0,1,6,7
TUPIZA,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,1,1,1,3,0,0,2,4,6
URIONDO (A. CONCEPCION),violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
VACAS,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,2,0,0,0,2,2
VILLA MONTES,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,1,0,8,7,1,0,10,7,17
VILLA TUNARI,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,2,0,0,0,2,2
VILLAZON,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,1,1,3,18,0,0,4,19,23
WARNES,violencia  intrafamiliar,intrafamiliar,2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ACACIO,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,1,2,0,0,1,2,3
ACHACACHI,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,1,2,0,0,1,2,3
AIQUILE,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,1,1,1,0,0,1,2,3
ANCORAIMES,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ANZALDO,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,2,0,0,0,2,2
APOLO,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,2,0,0,0,2,2
ARANI,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,1,0,2,2
ASCENCION DE GUARAYOS,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,5,0,0,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
AZURDUY,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BERMEJO,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,4,0,0,0,4,4
CAMATAQUI (C. VILLA ABECIA),violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CAPINOTA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,1,1,0,0,1,1,2
CARANAVI,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,2,0,0,0,2,0,2
CHALLAPATA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,1,1,1,0,0,1,2,3
CHARAGUA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CHIPAYA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,0,1,1,1,1,2
CLIZA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,2,0,3,0,5,5
COBIJA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COCHABAMBA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,3,6,0,0,3,6,9
COLOMI,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,6,0,1,0,7,7
COLPA BELGICA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
CONCEPCION,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,2,1,0,0,2,1,3
COPACABANA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CORIPATA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,2,0,0,0,2,2
COROICO,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,2,10,0,0,2,10,12
COTAGAITA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,2,0,0,0,2,2
CUATRO CAÑADAS,violencia  intrafamiliar,intrafamiliar,2007-06-01,1,0,0,0,0,0,0,0,0,0,1,0,1
CURVA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
EL ALTO,violencia  intrafamiliar,intrafamiliar,2007-06-01,1,0,1,2,1,0,3,71,0,0,6,73,79
EL PUENTE(TJA),violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,3,0,0,0,3,3
HUACARETA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,1,0,2,2
LA ASUNTA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
LA GUARDIA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LA PAZ,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,1,2,6,2,5,34,3,0,15,38,53
LLALLAGUA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,1,1,15,0,0,1,16,17
MINEROS,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
MIZQUE,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,3,0,0,0,3,3
MOJOCOYA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,0,2,0,0,0,2,2
MONTEAGUDO,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,1,1,0,0,1,1,2
MOROCHATA,violencia  intrafamiliar,intrafamiliar,2007-06-01,0,0,0,0,0,0,1,3,0,0,1,3,4
