municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
SOPACHUY,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TARIJA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,3,5,0,0,3,5,8
TARVITA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TIPUANI,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,2,0,0,0,2,2
TRINIDAD,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
TUPIZA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
UNCIA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
VACAS,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,3,1,0,0,3,1,4
VILLA MONTES,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,4,0,1,0,5,0,5
VILLA SERRANO,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLAZON,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,1,0,2,0,0,0,3,3
VINTO,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ANCORAIMES,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
APOLO,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ARQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,1,0,0,1,1,1,2
ASCENCION DE GUARAYOS,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,2,0,0,0,2,2
BERMEJO,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,1,0,0,0,1,0,1
BETANZOS,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,1,0,0,0,1,0,1
BUENA VISTA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,12,13,0,0,12,13,25
CAPINOTA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,1,0,0,0,0,0,1,1
CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,6,10,2,0,8,10,18
COCHABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,1,13,6,0,0,13,7,20
COLOMI,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COROICO,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,1,1,2,1,3,4
EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,6,4,14,9,71,31,1,4,92,48,140
ENTRE RIOS,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,1,0,0,5,2,0,0,5,3,8
HUANUNI,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
INCAHUASI,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LA GUARDIA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,2,0,0,0,2,0,2
LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,5,3,0,0,5,3,8
MACHARETI,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,1,0,0,0,0,0,0,0,0,0,1,1
MINEROS,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,1,0,1,0,0,0,0,0,2,2
MIZQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,1,3,1,0,2,3,5
MOJOCOYA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,1,0,0,1,0,0,1,1,2
MONTEAGUDO,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MORO MORO,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,2,1,0,0,2,1,3
ORURO,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,4,17,15,26,13,215,80,10,16,268,128,396
PADILLA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
PALOS BLANCOS,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,1,0,0,0,1,0,1
PUCARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,1,1,0,1,1,2
PUERTO ACOSTA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,1,0,0,0,1,0,1
PUERTO QUIJARRO,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUERTO RICO,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,1,1,0,0,0,1,1,2
PUNATA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SACABA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN CARLOS,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,2,1,1,1,9,2,2,0,14,4,18
SAN LUCAS,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SUCRE,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,2,0,1,0,0,0,3,3
TARIJA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,4,1,0,0,4,1,5
TARVITA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
UNCIA,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,2,1,1,0,3,1,4
VILLA MONTES,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,6,0,0,0,6,0,6
VILLA VACA GUZMAN (MUYUPAMPA),violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,1,0,0,0,1,0,1
VILLAZON,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,1,0,0,0,0,0,1,1
YAPACANI,violencia  intrafamiliar,otras violencias (causas externas),2007-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ACHACACHI,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,0,2,0,2,0,2
ALALAY,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,1,0,1,1,1,1,3,2,5
ANCORAIMES,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ANZALDO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
AYATA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,0,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,1,1,1,0,0,1,2,3
BERMEJO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,2,3,0,1,2,4,6
BETANZOS,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CAMARGO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,2,1,0,0,2,1,3
CAPINOTA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,2,0,0,0,2,0,2
CARANAVI,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,1,4,5,1,1,5,7,12
CHUMA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,2,1,7,4,5,16,0,0,14,21,35
COLOMI,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,3,1,0,1,3,2,5
COLQUECHACA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COMARAPA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,2,0,0,0,2,2
COROICO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,1,0,0,1,1,1,2
EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,1,6,5,24,10,98,63,8,5,136,84,220
EL VILLAR,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,1,1,1,0,2,1,3
ENTRE RIOS,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,1,0,0,0,0,0,1,1
FERNANDEZ ALONSO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,2,0,1,0,3,0,3
HUANUNI,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,1,2,4,0,0,2,5,7
LA GUARDIA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,1,1,1,0,0,1,2,3
LA PAZ,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,1,3,11,0,0,3,12,15
LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,9,3,0,0,9,3,12
MIZQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,2,0,5,3,5,6,17,7,3,3,32,19,51
MOJOCOYA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,1,1,0,0,1,1,2
MONTERO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,1,0,1,0,0,0,2,0,2
ORURO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,2,2,20,16,29,11,230,85,16,12,297,126,423
PALCA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PALOS BLANCOS,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,1,0,0,0,1,0,1
PAZÑA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,2,0,0,0,2,0,2
POTOSI,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,3,1,0,0,3,1,4
PUERTO SUAREZ,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,2,0,0,0,2,0,2
RIBERALTA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,1,0,0,0,0,0,1,1
ROBORE,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,1,1,1,0,0,1,2,3
SACABA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,1,0,7,0,0,0,8,0,8
SACABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,1,1,0,0,1,1,2
SACACA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,1,1,0,0,1,1,2
SAN BENITO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,1,2,4,1,10,9,1,3,16,15,31
SAN BORJA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,2,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,1,0,1,0,2,2,5,6,0,0,9,8,17
SAN JUAN DE YAPACANI,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN LUCAS,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SUCRE,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,3,0,0,0,3,3
TARIJA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,1,0,12,5,0,0,13,5,18
TIPUANI,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TIRAQUE (CBBA),violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,1,0,4,0,0,0,5,0,5
TORO TORO,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TUPIZA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
UNCIA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,2,2,0,0,2,2,4
VILLA MONTES,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,1,0,0,0,1,0,1
VILLAZON,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
YAPACANI,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
YOTALA,violencia  intrafamiliar,otras violencias (causas externas),2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
APOLO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,1,3,16,6,4,0,21,9,30
ARQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,2,0,0,0,2,2
BERMEJO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,1,1,0,0,0,0,1,1,2
BETANZOS,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,1,0,0,1,1,2
CAPINOTA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,3,1,5,6,1,1,9,8,17
CLIZA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,3,4,0,0,3,4,7
COCHABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,1,1,0,1,9,7,2,0,12,9,21
"COLCHA ""K""",violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,0,0,1,0,1,1
COLLANA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,0,0,0,1,0,1
COLOMI,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,2,0,0,1,2,3
COMANCHE,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COROICO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,4,1,0,0,4,1,5
EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,1,5,4,11,5,77,47,6,4,99,61,160
ENTRE RIOS,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,0,0,0,1,0,1
GENERAL SAAVEDRA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,1,0,0,1,1,2
HUACARETA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
IXIAMAS,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,1,0,0,0,0,0,0,0,1,0,1
LA GUARDIA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,2,0,0,0,2,0,2
LA PAZ,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,1,0,0,1,1,2
LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,9,2,0,0,9,2,11
MAIRANA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
MINEROS,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,1,0,3,0,10,3,0,0,14,3,17
MIZQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,1,2,4,2,15,4,3,0,23,8,31
MONTEAGUDO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,2,0,0,0,2,2
ORURO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,11,7,8,6,27,11,150,69,16,13,212,106,318
PAZÑA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,1,0,1,0,0,0,2,2
PORTACHUELO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
PUCARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,1,0,0,1,1,2
PUERTO ACOSTA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,1,1,1,1,2,3
PUERTO QUIJARRO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,2,0,0,0,2,2
PUERTO VILLARROEL,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,2,0,0,0,2,2
PUNATA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,4,0,0,1,4,5
ROBORE,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SABAYA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,4,0,0,0,4,0,4
SACABA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,1,0,1,2,1,1,0,1,3,4,7
SAN BENITO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,3,1,12,6,15,7,6,2,36,16,52
SAN BORJA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,2,1,1,6,9,1,2,0,14,8,22
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,0,1,0,2,0,2
SIPE SIPE,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SUCRE,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,3,0,0,0,3,3
TARABUCO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,1,0,0,1,1,2
TARIJA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,7,2,0,0,7,2,9
TIQUIPAYA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TIRAQUE (CBBA),violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,1,1,2,1,0,0,3,2,5
TOLEDO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TORO TORO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
TOTORA(CBBA),violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,3,0,1,0,4,0,4
TUPIZA,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,1,1,0,0,1,1,2
VACAS,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,1,0,2,3,2,1,0,4,5,9
VILLA RIVERO,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,2,1,5,4,2,0,9,5,14
VILLA VACA GUZMAN (MUYUPAMPA),violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,0,0,1,0,0,0,1,1
WARNES,violencia  intrafamiliar,otras violencias (causas externas),2007-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
ARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,1,1,2,6,3,16,8,6,0,29,14,43
ARQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,2,2,0,0,2,2,4
AZURDUY,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,2,2,0,0,2,2,4
BERMEJO,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BETANZOS,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,1,1,0,1,1,2,3
CAMARGO,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,1,3,0,0,1,3,4
CAPINOTA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,2,0,0,0,2,0,2
CARANAVI,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,1,5,14,8,0,13,15,28
COCHABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,1,1,0,316,116,2,4,319,121,440
COLCAPIRHUA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COLOMI,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,3,4,1,0,4,4,8
COROICO,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,4,2,0,1,4,3,7
COTOCA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,2,5,5,9,18,19,144,86,10,9,179,128,307
FERNANDEZ ALONSO,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,0,1,1,0,1,1,2
GUAYARAMERIN,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,1,0,0,0,1,0,1
ICLA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
IXIAMAS,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,1,0,0,0,0,0,1,1
LA GUARDIA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,1,0,0,0,1,0,0,0,2,0,2
LA PAZ,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,1,0,1,0,0,0,2,2
LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,1,1,0,0,1,1,2
MINEROS,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,5,2,0,0,5,2,7
MIZQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,4,4,6,6,12,7,1,0,23,17,40
MOROCHATA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,2,3,2,0,0,3,4,7
ORURO,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,4,4,25,19,43,11,300,122,18,22,390,178,568
PALOS BLANCOS,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,1,1,0,0,1,1,2
POTOSI,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUERTO ACOSTA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUERTO VILLARROEL,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,1,0,0,0,1,0,1
PUNATA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,1,0,0,1,4,0,0,1,5,6
QUIME,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SACABA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,1,0,1,0,2,0,2
SACABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,1,1,0,0,1,1,2
SACACA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,2,1,0,0,2,1,3
SAN BENITO,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,4,0,1,1,2,7,23,11,2,1,32,20,52
SAN BORJA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,1,0,2,0,7,1,0,0,10,1,11
SAN LUCAS,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN MATIAS,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,1,0,1,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,otras violencias (causas externas),2007-10-01,0,0,0,0,0,0,2,0,0,0,2,0,2
